school_number,name,ward,address,lat,lon,source
407040,八王子東,八王子市,高倉町68-1,35.662105,139.364594,P29
407050,八王子北,八王子市,楢原町601,35.685548,139.303568,P29
407070,松が谷,八王子市,松が谷1772,35.628649,139.410417,P29
407080,日野,日野市,石田1-190-1,35.66734,139.424555,P29
407090,日野台,日野市,大坂上4-16-1,35.672708,139.38624,P29
407100,南平,日野市,南平8-2-3,35.651545,139.396208,P29
407210,町田,町田市,中町4-25-3,35.553387,139.44928,P29
407230,野津田,町田市,野津田町2001,35.589734,139.437524,P29
407240,成瀬,町田市,成瀬7-4-1,35.54218,139.475101,P29
407250,小川,町田市,小川2-1002-1,35.53266,139.469153,P29
407260,山崎,町田市,山崎町1453-1,35.576722,139.434039,P29
407420,町田総合,町田市,木曽西3-5-1,35.570418,139.416833,P29
407510,翔陽,八王子市,館町1097-136,35.629991,139.291936,P29
407520,八王子拓真,八王子市,台町3-25-1,35.654438,139.317215,P29
407720,町田工科,町田市,忠生1-20-2,35.575623,139.422135,P29
407910,八王子桑志,八王子市,千人町4-8-1,35.657771,139.305838,P29
408010,立川,立川市,錦町2-13-5,35.692606,139.412988,P29
408030,砂川,立川市,泉町935-4,35.718085,139.416824,P29
408040,昭和,昭島市,東町2-3-21,35.704329,139.387132,P29
408050,拝島,昭島市,拝島町4-13-1,35.703876,139.343329,P29
408060,東大和,東大和市,中央3-945,35.745491,139.42455,P29
408070,武蔵村山,武蔵村山市,中原1-7-1,35.756929,139.365954,P29
408090,東大和南,東大和市,桜が丘3-44-8,35.731965,139.423405,P29
408210,多摩,青梅市,裏宿町580,35.789832,139.246541,P29
408230,福生,福生市,北田園2-11-3,35.736709,139.322126,P29
408240,秋留台,あきる野市,平沢153-4,35.732208,139.300787,P29
408250,羽村,羽村市,羽4152-1,35.765174,139.331599,P29
408260,五日市,あきる野市,五日市894,35.729378,139.217815,P29
408420,青梅総合,青梅市,勝沼1-60-1,35.788967,139.269099,P29
408430,立川緑,立川市,錦町6-3-1,35.689713,139.41893,geocode
408510,上水,武蔵村山市,大南4-62-1,35.735019,139.412029,P29
408710,多摩工科,福生市,熊川215,35.716004,139.338326,P29
408820,瑞穂農芸,瑞穂町,石畑2027,35.777253,139.3602,P29
409010,武蔵,武蔵野市,境4-13-28,35.707797,139.539279,P29
409020,武蔵野北,武蔵野市,八幡町2-3-10,35.720012,139.557548,P29
409030,小金井北,小金井市,緑町4-1-1,35.705461,139.516785,P29
409040,保谷,西東京市,住吉町5-8-23,35.745795,139.555418,P29
