school_number,school,club,year,meet,text,flag,source
408710,多摩工科,卓球部,令和7年度,東京都大会,（参加校約200校） 令和7年度 東京都高等学校新人卓球大会 ベスト16,OK,https://www.metro.ed.jp/tamakoka-h/school_life/activities.html
408710,多摩工科,卓球部,令和7年度,東京都大会,（参加校約200校） ※ベスト16以上に残った都立高校は本校含め3校のみ 令和7年度 東京都工業高等学校生徒スポーツ大会 第26回卓球競技大会 優勝,OK,https://www.metro.ed.jp/tamakoka-h/school_life/activities.html
409070,田無,男子バドミントン部,令和6年度,関東大会,ベスト8 令和6年度春季大会兼関東大会（団体）ベスト16 令和3年度冬季西ブロック大会男子Ⅱ部優勝 女子バドミントン部 部員数 1学年：10 名 2学年：4 名 3学年：4 名 計 18 名 活動日 平日 月・(火)・水・木 休日 土・(日,要確認,https://www.metro.ed.jp/tanashi-h/school_life/activities.html
409220,小平西,都高等学校文化祭演劇部,令和八年度,東京都大会,」を受賞 ・令和八年度多摩北地区新人デビュー発表会にて東京都短編演劇発表会（都大会）進出 ・令和八年度東京都短編演劇発表会にて「優秀賞」（東京都２位相当）を受賞 メッセージ 令和８年度現在１年生８名、２年生１０名で活動時刻を延長し、日々精力,要確認,https://www.metro.ed.jp/kodairanishi-h/school_life/activities.html
409240,国分寺,水泳部,令和５年度,,⇒令和５年度 総合優勝達成,OK,https://www.metro.ed.jp/kokubunji-h/school_life/activities.html
410020,神代,華道部,令和５年度,関東大会,令和５年は「花活けバトル」関東大会３位入賞,OK,https://www.metro.ed.jp/jindai-h/school_life/activities.html
410050,狛江,女子バレー部,平成２６年,関東大会,女子バレー部 実績 平成２３，２４年度関東大会出場、平成２６年度夏季大会優勝、 令和４年度公立校大会ベスト８進出 令和４年度新人選手権大会ベスト３２進出 部活紹介・部活からのメッセージ 自分たちで考えながら、日々練習を積み重ね、部員全員で,要確認,https://www.metro.ed.jp/komae-h/school_life/activities.html
410050,狛江,水泳部,令和４年度,関東大会,水泳部 目標 関東大会出場と上位進出、自己ベスト更新、各種大会決勝進出及びメダル獲得 令和４年度西東京国公立水泳競技大会男子フリーリレー４３校中２位 部活紹介・部活からのメッセージ オフシーズンは土曜日に温水プールに行ったり、様々な練習を,要確認,https://www.metro.ed.jp/komae-h/school_life/activities.html
410230,府中西,写真部,令和３年度,,令和３年度（2021）の地区大会では、１名が佳作に入賞しました,OK,https://www.metro.ed.jp/fuchunishi-h/school_life/activities.html
411910,大島海洋国際,生物部,令和元年度,,） 活動内容 波浮港、元町港、ヨコブチ等の磯 大会 令和元年バリバスカップU－18LTマアジ釣り大会（準優勝） 生徒会 活動内容 生徒会活動は、将来の良き社会人となるため、本校職員の助言・指導の下に健全なる自治能力を培い、民主的学校生活を行,要確認,https://www.metro.ed.jp/oosimakaiyokokusai-h/school_life/activities.html
