school_number,school,club,year,meet,text,flag,source
405270,足立新田,男子バスケットボール部,令和７年度,東京都大会（予選）,【令和７年度】 インターハイ予選 2回戦進出 東京都U18リーグ戦(T5-J) 4位 第３２回足立区高等学校バスケットボール大会 男子 ２ 位 【令和６年度】 第３０回足立区高等学校バスケットボール大会 男子３位 【令和５年度】 インター,要確認,https://www.metro.ed.jp/adachishinden-h/school_life/activities.html
405270,足立新田,,令和４年度,東京都大会（予選）,ハイ予選 ３回戦進出 関東大会予選 ２回戦進出 【令和４年度】 インターハイ予選 ２回戦進出 目標 ①新人戦本大会進出 ②足立区大会 優勝 ③東京都ベスト16（関東予選・IH予選） ④東京都U18リーグ 優勝・昇格 その他 体験入部や練習の,要確認,https://www.metro.ed.jp/adachishinden-h/school_life/activities.html
405270,足立新田,女子バスケットボール部,令和元年度,,活動実績 令和元年度 足立区大会第三位 足立区大会優勝（平成２４年～２８年 ５年連続） 目標 バスケットボールが好きな人、やる気のある人ぜひ入部してください,要確認,https://www.metro.ed.jp/adachishinden-h/school_life/activities.html
405270,足立新田,バドミントン部,令和８年度,東京都大会（予選）,外：長距離走、筋力トレーニング 活動実績 【令和８年度】 【令和７年度】 ●インターハイ予選 女子団体 ベスト１８ ●新人戦Ⅰ部（ダブルス） 女子１ペア準決勝進出（ ベスト２４ ） 男子１ペア準決勝進出（ ベスト４０ ） ●足立区大会（シ,要確認,https://www.metro.ed.jp/adachishinden-h/school_life/activities.html
405270,足立新田,,令和６年度,東京都大会（予選）,ロック大会 男子 男子決勝トーナメント進出 ●国公立大会 男子 決勝トーナメント２回戦進出 東京都 国公立ベスト３４ 女子 決勝トーナメント３回戦進出 東京都 国公立ベスト１１ 【令和６年度】 ●関東大会予選 女子団体 第５ブロック準優勝,OK,https://www.metro.ed.jp/adachishinden-h/school_life/activities.html
405270,足立新田,ダンス部,令和５年度,全国大会,活動実績 【令和５年度】 ダンススタジアム 東京都大会Ｂブロック 出場 スモールクラス 東京都大会Ｂブロック 3位入賞 スリーボンド賞（特別賞）ダブル受賞 スモールクラス 全国大会出場 【令和３年度】 ダンススタジアム 関東・甲信越大会,要確認,https://www.metro.ed.jp/adachishinden-h/school_life/activities.html
405270,足立新田,ダンス部,令和元年度,全国大会,出場 【令和元年度】 ダンススタジアム 関東・甲信越大会 入賞 ビッグクラス 全国大会出場 目標 ダンススタジアム、ビッグクラス・スモールクラス両部門での全国大会出場,要確認,https://www.metro.ed.jp/adachishinden-h/school_life/activities.html
405270,足立新田,サッカー部,令和５年度,東京都大会,月、水・木・金・半面、土日午前の全面 活動実績 【令和５年度】 総体支部予選１回戦敗退 2地区ユースリーグ１部Aリーグ８位 全国高校サッカー選手権東京一次予選１回戦敗退 【令和４年度】 総体支部予選１回戦敗退 2地区ユースリーグ２Bリーグ,要確認,https://www.metro.ed.jp/adachishinden-h/school_life/activities.html
405270,足立新田,女子硬式テニス部,令和5年度,東京都大会,【令和5 年度】 東京都立高等学校テニス選手権大会 団体 ベスト３２ 【令和4年度】 東京都立高等学校テニス選手権大会 団体 ベスト３２ 東京都立高等学校テニス選手権大会 シングルス・ダブルス ベスト32 足立区都立高校生テニストーナメン,要確認,https://www.metro.ed.jp/adachishinden-h/school_life/activities.html
405270,足立新田,女子硬式テニス部,令和3年度,東京都大会,ト 優勝・準優勝・第3位 【令和3年度】 東京都立高等学校テニス選手権大会 団体 ベスト１６ 【令和2年度】 東京都高等学校テニス選手権大会 個人 本選2回戦進出 東京都立高等学校テニス選手権大会 女子シングルス ベスト４ 硬式・軟式問わず,要確認,https://www.metro.ed.jp/adachishinden-h/school_life/activities.html
405270,足立新田,水泳部,令和５年度,,水泳部 活動日・活動内容 夏季シーズン（６～９月） 月・金・火または水 プールにて活動 オフシーズン（夏季以外） 金曜日 トレーニングルームでの筋トレ 外部プールでの練習 活動実績 【令和５年度】 足立区大会 入賞者11名 男子200ｍフ,要確認,https://www.metro.ed.jp/adachishinden-h/school_life/activities.html
405270,足立新田,吹奏楽部,令和5年度,東京都大会,活動実績 【令和5年度】 吹奏楽コンクール C組銀賞 高校野球大会応援演奏 東京都文化連盟地区大会参加 【令和4年度】 吹奏楽アンサンブルコンテスト 銀賞 高校生が集うオール足立文化祭参加 一言 一音入魂,要確認,https://www.metro.ed.jp/adachishinden-h/school_life/activities.html
405270,足立新田,軽音楽部,令和６年度,東京都大会,ンズカップ 出場 【令和６年度】 各校合同ライブ 出場 【令和５年度】 あだちけいおんフェスタ2023ライオンズカップ 優勝 MUSIC DAYS 2023 東京大会 本戦出場 第16 回 東京都高等学校軽音楽コンテスト決勝大会 優秀賞 全,要確認,https://www.metro.ed.jp/adachishinden-h/school_life/activities.html
405270,足立新田,全国高等学校軽音楽部,令和３年度,東京都大会,ンドバトル2022夏の陣 奨励賞 あだちけいおんフェスタ 優勝 【令和３年度】 東京都高等学校軽音楽コンテスト決勝大会出場 優秀賞 あだちけいおんフェスタ 足立区教育委員会賞 活動目標 オーディエンスの心に響く音楽を創る,要確認,https://www.metro.ed.jp/adachishinden-h/school_life/activities.html
405720,荒川工科,,令和5年度,全国大会,令和5年3月21日（火・祝）に行われた「やまがたAI甲子園」 では、探求テーマ「高齢者に安全で快適な空調管理システムの開発」２位,OK,https://www.metro.ed.jp/arakawakoka-h/school_life/activities.html
406020,墨田川,柔道部,令和5年度,東京都大会（予選）,令和5年度 関東選抜大会 女子個人戦出場 令和５年度 東京都国公立大会 男子団体優勝 令和６年度 関東大会東京都予選 男子団体戦 ベスト１６ 令和6年度 インターハイ東京都予選 男子個人戦ベスト１６ 軟式野球部 活動曜日 月・水・木・金,要確認,https://www.metro.ed.jp/sumidagawa-h/school_life/activities.html
406020,墨田川,墨田川高校サッカー部,令和５年度,東京都大会（予選）,実績（令和５年度の入賞実績 過去3年以内） 令和5年度 インターハイ支部予選 ブロック決勝進出 新人戦地区ベスト８ ハンドボール部 活動曜日 月・火・水・金・土or日 部員数 男子２１名 女子１１名 歴史のあるハンドボール部の活動を活発に,要確認,https://www.metro.ed.jp/sumidagawa-h/school_life/activities.html
406020,墨田川,史のあるハンドボール部,令和５年度,東京都大会（予選）,実績（令和５年度の入賞実績 過去3年以内） 令和６年度 東京都高等学校ハンドボール春季大会兼関東大会都予選 令和６年度 東京都高等学校総合体育大会兼全日本高等学校ハンドボール選手権大会都予選 令和６年度 東京都高等学校ハンドボール秋季大会,要確認,https://www.metro.ed.jp/sumidagawa-h/school_life/activities.html
406020,墨田川,女子バレーボール部,令和６年度,東京都大会（予選）,令和６年度 東京都高等学校春季大会 リーグ優勝 東京都ベスト４８ 東京都高等学校インターハイ予選 東京都ベスト８０ 東京都高等学校夏季大会 第３位 墨田区大会 準優勝 男子硬式テニス部 活動曜日 火・木・金・土 部員数 男子１４名 男子硬,要確認,https://www.metro.ed.jp/sumidagawa-h/school_life/activities.html
406020,墨田川,水泳部,令和8年度,東京都大会（予選）,令和8年度 東京都高等学校選手権水泳競技大会 兼 第77回関東高等学校選手権水泳競技大会予選会 女子4×100ｍフリーリレー 第7位 関東大会出場 女子4×200ｍフリーリレー 第5位 関東大会出場 男子４×100ｍメドレーリレー 第8位,OK,https://www.metro.ed.jp/sumidagawa-h/school_life/activities.html
406020,墨田川,文芸部,令和6年度,東京都大会,令和6年度第47回東京都高等学校文化祭文芸部門地区大会 短歌の部 佳作入賞 第25回関東地区高校生文芸大会 短歌部門佳作 令和6年度第47回東京都高等学校文化祭文芸部門中央大会 俳句の部 優秀賞・佳作入賞 令和6年度第47回東京都高等学校,OK,https://www.metro.ed.jp/sumidagawa-h/school_life/activities.html
406020,墨田川,都高等学校文化祭文芸部,令和５年度,,文化祭文芸部門中央大会 小説の部 生徒賞入賞 令和５年度 第47回高等学校総合文化祭 短歌部門出場 美術部 活動曜日 月・火・木・金 部員数 男子３名・女子２２名 主に文化祭に向けて作品制作したり、都美術館で開催される大きな展示会に自分の作,要確認,https://www.metro.ed.jp/sumidagawa-h/school_life/activities.html
406020,墨田川,写真部,令和５年度,東京都大会,実績（令和５年度の入賞実績 過去3年以内） ・第４６回 東京都高等学校文化祭 写真部門中央大会 入賞 吹奏楽部 活動曜日 月・火・木・金・土or日 部員数 男子２９名 女子７９名 聴いてくださる皆様の心に残る音楽を作ることを目標に日々練習,要確認,https://www.metro.ed.jp/sumidagawa-h/school_life/activities.html
