school_number,school,year,meet,sport,event,division,rank,source
409040,保谷,令和7年度,高校生国際美術展（第26回）,書道,,,佳作,https://www.ihsaf.net/pdf/26_result_sho.pdf
409040,保谷,令和8年度,高校生国際美術展（第27回）,書道,,,佳作,https://www.ihsaf.net/pdf/27_result_sho.pdf
409230,東村山,令和5年度,高校生国際美術展（第24回）,書道,,,佳作,https://www.ihsaf.net/pdf/24_result_sho.pdf
409230,東村山,令和6年度,高校生国際美術展（第25回）,書道,,,佳作,https://www.ihsaf.net/pdf/25_result_sho.pdf
409230,東村山,令和8年度,高校生国際美術展（第27回）,書道,,,佳作,https://www.ihsaf.net/pdf/27_result_sho.pdf
409280,東村山西,令和4年度,高校生国際美術展（第23回）,書道,,,佳作,https://www.ihsaf.net/pdf/23_result_sho.pdf
409280,東村山西,令和5年度,高校生国際美術展（第24回）,書道,,,佳作,https://www.ihsaf.net/pdf/24_result_sho.pdf
409280,東村山西,令和6年度,高校生国際美術展（第25回）,書道,,,佳作,https://www.ihsaf.net/pdf/25_result_sho.pdf
409280,東村山西,令和7年度,高校生国際美術展（第26回）,書道,,,佳作,https://www.ihsaf.net/pdf/26_result_sho.pdf
409280,東村山西,令和8年度,高校生国際美術展（第27回）,書道,,,佳作,https://www.ihsaf.net/pdf/27_result_sho.pdf
410410,若葉総合,令和6年度,高校生国際美術展（第25回）,美術,,,佳作,https://www.ihsaf.net/pdf/25_result_art.pdf
410410,若葉総合,令和8年度,高校生国際美術展（第27回）,美術,,,佳作,https://www.ihsaf.net/pdf/27_result_art.pdf
