station_name,lat,lon
小作,35.776,139.3022
小台,35.7506,139.7618
小宮,35.6858,139.3685
小岩,35.7332,139.8818
小川,35.7376,139.4635
小川町,35.6952,139.7669
小平,35.737,139.4885
小村井,35.7103,139.8276
小田急多摩センター,35.6249,139.4243
小田急永山,35.63,139.4479
小竹向原,35.7438,139.6786
小菅,35.759,139.8129
尾久,35.7468,139.7538
尾山台,35.607,139.6539
山下,35.6538,139.6465
山田,35.6444,139.3211
岩本町,35.6955,139.7759
川井,35.8137,139.1643
巣鴨,35.7334,139.7393
巣鴨新田,35.7355,139.7278
市ケ谷(市ヶ谷),35.6911,139.7352
市場前,35.6457,139.7856
布田,35.6499,139.5516
幡ヶ谷,35.6771,139.6762
平井,35.7064,139.8422
平和台,35.7579,139.6538
平和島,35.5787,139.7349
平山城址公園,35.6474,139.3799
広尾,35.6523,139.7222
庚申塚,35.7396,139.7297
府中,35.6722,139.4799
府中本町,35.6658,139.4771
府中競馬正門前,35.6683,139.485
後楽園,35.7079,139.7519
御嶽,35.8015,139.1826
御嶽山,35.5852,139.6825
御徒町,35.7073,139.7747
御成門,35.6612,139.7515
御茶ノ水,35.6996,139.765
志村三丁目,35.7774,139.6859
志村坂上,35.7757,139.6954
志茂,35.7779,139.7326
恋ヶ窪,35.7114,139.4639
恵比寿,35.6467,139.7101
成城学園前,35.6401,139.599
成増,35.7777,139.6327
成瀬,35.5354,139.4729
戸越,35.6146,139.7165
戸越公園,35.6089,139.7182
戸越銀座,35.6159,139.7149
扇大橋,35.7639,139.7708
押上（スカイツリー前）,35.7107,139.8129
拝島,35.7213,139.3435
整備場,35.5551,139.7534
新三河島,35.7371,139.7738
新中野,35.6975,139.669
新井薬師前,35.7158,139.6726
新代田,35.6626,139.6605
新大久保,35.7009,139.7003
新大塚,35.7257,139.73
新宿,35.6897,139.7005
新宿三丁目,35.6908,139.7049
新宿御苑前,35.6886,139.7107
新宿西口,35.6933,139.6992
新富町,35.6705,139.7737
新小岩,35.7169,139.8578
新小平,35.7313,139.4707
新小金井,35.6959,139.5266
新庚申塚,35.7413,139.7305
新御徒町,35.707,139.782
新御茶ノ水,35.6981,139.766
新整備場,35.5428,139.7868
新日本橋,35.689,139.7743
新木場,35.6462,139.8274
新板橋,35.7488,139.7201
新柴又,35.751,139.8794
新桜台,35.7408,139.6683
新橋,35.6662,139.7586
新江古田,35.7325,139.6707
新秋津,35.7783,139.4936
新豊洲,35.6487,139.79
新馬場,35.6176,139.7414
新高円寺,35.698,139.6481
新高島平,35.7902,139.6543
方南町,35.6835,139.6565
旗の台,35.6049,139.7023
日の出,35.6491,139.7591
日向和田,35.7887,139.2295
日暮里,35.7279,139.7713
日本橋,35.6821,139.7735
日比谷,35.6746,139.7602
日野,35.6792,139.3939
早稲田,35.7057,139.7213
明大前,35.6688,139.6504
明治神宮前〈原宿〉,35.6691,139.704
春日,35.7096,139.7533
昭和島,35.5707,139.7499
昭島,35.7133,139.3616
是政,35.6562,139.4886
曙橋,35.6924,139.7229
曳舟,35.7184,139.8166
月島,35.6649,139.7842
有明,35.6346,139.7933
有明テニスの森,35.64,139.7889
有楽町,35.6754,139.7638
木場,35.6694,139.807
末広町,35.703,139.7717
本所吾妻橋,35.7086,139.8046
本蓮沼,35.7688,139.7023
本郷三丁目,35.7067,139.7599
本駒込,35.7242,139.7538
東あずま,35.7071,139.8319
東中神,35.7063,139.3845
東中野,35.7065,139.6844
東久留米,35.7604,139.5337
東京,35.6814,139.7661
東京テレポート,35.6275,139.7789
東京ビッグサイト,35.6302,139.7912
東京国際クルーズターミナル,35.6215,139.7732
東伏見,35.7288,139.5635
東北沢,35.6654,139.673
東十条,35.7638,139.7269
東向島,35.7243,139.8193
東大前,35.7176,139.758
東大和市,35.7328,139.4342
東大島,35.6904,139.846
東小金井,35.7016,139.5248
東尾久三丁目,35.7454,139.7744
東府中,35.6688,139.4953
東新宿,35.6989,139.7076
東日本橋,35.6921,139.7848
東村山,35.7601,139.4658
東松原,35.6626,139.6555
東武練馬,35.7687,139.662
東池袋,35.7257,139.7195
東池袋四丁目,35.7253,139.72
東福生,35.7458,139.3359
東秋留,35.7259,139.3117
東銀座,35.6695,139.7673
東長崎,35.73,139.6833
東陽町,35.6696,139.8176
東雲,35.641,139.8044
東青梅,35.7898,139.2728
東高円寺,35.6978,139.6578
松が谷,35.6317,139.4222
松原,35.66,139.642
松陰神社前,35.6439,139.6552
板橋,35.7454,139.7195
板橋区役所前,35.7513,139.7101
板橋本町,35.7613,139.7055
柴又,35.7563,139.8752
柴崎,35.654,139.5666
柴崎体育館,35.6895,139.4092
栄町,35.7509,139.7421
根津,35.7174,139.7657
桜上水,35.6677,139.6313
桜台,35.7388,139.6626
桜新町,35.6317,139.6448
桜田門,35.6774,139.7515
桜街道,35.739,139.4167
梅ヶ丘,35.656,139.6536
梅屋敷,35.5669,139.7283
梅島,35.7724,139.7979
梶原,35.7512,139.7474
森下,35.688,139.797
椎名町,35.7266,139.6944
武蔵五日市,35.7322,139.228
武蔵境,35.7021,139.5434
武蔵増戸,35.731,139.2564
武蔵大和,35.7564,139.444
武蔵小山,35.6205,139.7045
武蔵小金井,35.7013,139.5065
武蔵引田,35.7297,139.2699
武蔵新田,35.5678,139.6925
武蔵砂川,35.7289,139.3923
武蔵野台,35.6642,139.5113
武蔵関,35.7276,139.5764
水天宮前,35.6827,139.7854
水道橋,35.702,139.7543
氷川台,35.7495,139.6656
永田町,35.6788,139.7403
永福町,35.6763,139.6427
汐留,35.6637,139.7606
江北,35.774,139.7703
江古田,35.7376,139.6728
江戸川,35.7377,139.8962
江戸川橋,35.7095,139.7335
池ノ上,35.6604,139.6734
池上,35.572,139.7028
池尻大橋,35.6506,139.6843
池袋,35.7303,139.7111
沢井,35.8059,139.1933
河辺,35.7847,139.284
沼袋,35.7195,139.6638
沼部,35.5825,139.6733
泉体育館,35.7188,139.4195
泉岳寺,35.6387,139.74
洗足,35.6104,139.6944
洗足池,35.5996,139.6909
流通センター,35.5819,139.749
浅草,35.7119,139.7982
浅草橋,35.6974,139.7844
浜松町,35.6554,139.7571
浜田山,35.6816,139.6275
浜町,35.6885,139.7882
浮間舟渡,35.7912,139.6913
淡路町,35.695,139.7675
清澄白河,35.6821,139.7989
清瀬,35.7722,139.5199
渋谷,35.6589,139.7012
湯島,35.7082,139.7699
溜池山王,35.6736,139.7414
滝野川一丁目,35.7474,139.7354
潮見,35.6587,139.8173
熊川,35.7283,139.3358
熊野前,35.7492,139.7692
片倉,35.6397,139.3412
牛浜,35.7345,139.3337
牛田,35.7446,139.8118
牛込柳町,35.6995,139.725
牛込神楽坂,35.7009,139.7358
狛江,35.632,139.5771
狭間,35.6406,139.2938
玉川上水,35.7318,139.4184
玉川学園前,35.5635,139.4634
王子,35.7524,139.7382
王子神谷,35.7652,139.7359
王子駅前,35.753,139.7379
瑞江,35.6933,139.8976
用賀,35.6264,139.6339
田原町,35.7099,139.7909
田園調布,35.5968,139.6674
田無,35.7273,139.5393
田町,35.6457,139.7476
田端,35.7378,139.7612
甲州街道,35.6783,139.4092
町屋,35.7424,139.7815
町屋二丁目,35.7438,139.7766
町屋駅前,35.7428,139.7811
町田,35.542,139.4456
白丸,35.8117,139.1149
白山,35.7214,139.7521
白糸台,35.6665,139.5099
白金台,35.6379,139.7261
白金高輪,35.6429,139.7341
百草園,35.6574,139.4313
目白,35.7205,139.7062
目黒,35.6339,139.7158
相原,35.6069,139.3317
矢口渡,35.5625,139.7004
矢川,35.6851,139.4316
矢野口,35.6413,139.5208
石川台,35.5969,139.6851
石神井公園,35.7436,139.607
石神前,35.7968,139.2251
砂川七番,35.7233,139.4181
祐天寺,35.6372,139.6908
祖師ヶ谷大蔵,35.6432,139.6097
神保町,35.696,139.7576
神楽坂,35.7038,139.7345
神泉,35.6572,139.6936
神田,35.6912,139.7706
神谷町,35.663,139.7451
福生,35.7425,139.3278
秋川,35.728,139.2867
秋津,35.7786,139.4965
秋葉原,35.6986,139.7733
程久保,35.6551,139.4107
稲城,35.6362,139.5004
稲城長沼,35.6442,139.5028
稲荷町,35.7113,139.7826
穴守稲荷,35.5503,139.7467
立会川,35.5985,139.7389
立川,35.6982,139.4137
立川北,35.6995,139.4125
立川南,35.6961,139.4125
立飛,35.7147,139.4174
競艇場前,35.6562,139.4997
竹ノ塚,35.7944,139.7908
竹橋,35.6907,139.7568
竹芝,35.6541,139.762
笹塚,35.6738,139.6673
等々力,35.6084,139.6479
箱根ヶ崎,35.7712,139.3468
築地,35.6681,139.7726
築地市場,35.6649,139.7669
篠崎,35.706,139.9037
糀谷,35.5545,139.7296
経堂,35.651,139.636
綾瀬,35.7622,139.825
緑が丘,35.6064,139.6795
練馬,35.7379,139.6544
練馬春日町,35.7515,139.6402
練馬高野台,35.7406,139.6167
羽村,35.7581,139.3162
羽田空港第１ターミナル,35.5492,139.7847
羽田空港第１・第２ターミナル,35.5498,139.786
羽田空港第２ターミナル,35.5507,139.788
羽田空港第３ターミナル,35.5449,139.7672
聖蹟桜ヶ丘,35.6508,139.447
自由が丘,35.6072,139.6687
舎人,35.8057,139.7701
舎人公園,35.7962,139.7702
船堀,35.6838,139.8643
芝公園,35.6541,139.7498
芝浦ふ頭,35.6418,139.7579
芦花公園,35.6705,139.6082
花小金井,35.7261,139.5132
若松河田,35.6992,139.7182
若林,35.6459,139.6599
茅場町,35.6798,139.78
茗荷谷,35.717,139.7372
荏原中延,35.6101,139.7122
荏原町,35.6038,139.7076
荒川一中前,35.7337,139.789
荒川七丁目,35.742,139.7842
荒川二丁目,35.7386,139.7847
荒川区役所前,35.7349,139.7865
荒川車庫前,35.7509,139.7526
荒川遊園地前,35.7507,139.7578
荻窪,35.7045,139.6201
菊川,35.6884,139.806
萩山,35.7408,139.4769
落合,35.711,139.6873
落合南長崎,35.7236,139.6833
葛西,35.6636,139.8725
葛西臨海公園,35.6444,139.8615
蒲田,35.5625,139.716
