school,department,sub_department,capacity,applicants,ratio
武蔵村山,普通科（ｺｰｽ、単位制以外の学校）,,221,244,1.1
永山,普通科（ｺｰｽ、単位制以外の学校）,,236,303,1.28
羽村,普通科（ｺｰｽ、単位制以外の学校）,,201,136,0.68
秋留台,普通科（ｺｰｽ、単位制以外の学校）,,136,184,1.35
五日市,普通科（ｺｰｽ、単位制以外の学校）,,136,48,0.35
田無,普通科（ｺｰｽ、単位制以外の学校）,,252,377,1.5
保谷,普通科（ｺｰｽ、単位制以外の学校）,,253,429,1.7
大島,普通科（島しょの学校）,,80,22,0.28
新島,普通科（島しょの学校）,,40,8,0.2
神津,普通科（島しょの学校）,,40,17,0.43
三宅,普通科（島しょの学校）,,40,2,0.05
八丈,普通科（島しょの学校）,,76,28,0.37
小笠原,普通科（島しょの学校）,,30,14,0.47
