name,ward,station,straight_km,walk_min
羽村,羽村市,箱根ヶ崎,1.52,25
永山,多摩市,小田急永山,1.7,28
大泉桜,練馬区,大泉学園,1.87,31
拝島,昭島市,拝島,1.93,32
武蔵村山,武蔵村山市,箱根ヶ崎,2.34,39
調布北,調布市,武蔵境,2.49,41
若葉総合,稲城市,稲城,2.8,46
山崎,町田市,玉川学園前,3.03,50
八王子北,八王子市,西八王子,3.31,54
野津田,町田市,玉川学園前,3.73,61
町田工科,町田市,玉川学園前,3.96,65
町田総合,町田市,町田,4.09,67
大島,大島町,南町田グランベリーパーク,83.41,1356
大島海洋国際,大島町,南町田グランベリーパーク,92.1,1497
新島,新島村,南町田グランベリーパーク,128.27,2085
神津,神津島村,南町田グランベリーパーク,148.48,2413
三宅,三宅村,南町田グランベリーパーク,161.37,2623
八丈,八丈町,南町田グランベリーパーク,268.31,4361
小笠原,小笠原村,新整備場,964.63,15676
