school_number,school,year,meet,sport,event,division,rank,source
408420,青梅総合,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/bc1617a16c8e43a4934b54c400f159f1.pdf
408420,青梅総合,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/b7ce6a09e040af45476be5a780be11c7.pdf
408420,青梅総合,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/14C.pdf
408420,青梅総合,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/8048f64de0e35faf3b1e3242a3a4515a.pdf
408510,上水,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,A組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/12A.pdf
408510,上水,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,A組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/f5145bd6ab90ce3a9afe86d9831ce5f3-2.pdf
409020,武蔵野北,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,A組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/c812336cac0bc9664a017898ef785d48.pdf
409020,武蔵野北,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,A組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/b6f95390732796040c9ac7d5976206f3.pdf
409020,武蔵野北,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13B-1.pdf
409020,武蔵野北,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/34a0a8684a4a5dde7c2f7f49cdd146f4-3.pdf
409020,武蔵野北,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/3a7f12fc7d75f389b7699ec6d069c857.pdf
409030,小金井北,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/ba579a8411d950a64621fd883ab21b16.pdf
409030,小金井北,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/faa0f6568724e6579e4b131c379c3da8.pdf
409030,小金井北,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/53e3451720747af128373fcdcc3b006c.pdf
409030,小金井北,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/bb46b813d7292eef7aa357dc1d245884-1.pdf
409030,小金井北,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/14B.pdf
409030,小金井北,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13C.pdf
409030,小金井北,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/34a0a8684a4a5dde7c2f7f49cdd146f4-3.pdf
409040,保谷,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,東日本組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/5af00a4d2cdedddefa204008173df8c2.pdf
409040,保谷,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,東日本組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/1713acdbfaa0888e468b698cc4325f9b.pdf
409040,保谷,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/14B.pdf
409040,保谷,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/14C.pdf
409040,保谷,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/d561582e9acf3539f4c9a76ff302fd4f-1.pdf
