school_number,name,official_name,ward,address,course_types,departments,department_note,lat,lon,access,selection_type,selection_note,source_master,source_coord
990001,産業技術高専（品川）,東京都立産業技術高等専門学校 品川キャンパス,品川区,東大井1-10-40,高専,工,ものづくり工学科（5年制）,35.605923,139.747803,品川シーサイド:3|鮫洲:9|青物横丁:10|大井町:18,kosen,高専は入試の方式が都立高校と異なるため、点数では判定していません,東京都立産業技術高等専門学校 公式サイト,国土地理院 地名検索API（住所から取得）
990002,産業技術高専（荒川）,東京都立産業技術高等専門学校 荒川キャンパス,荒川区,南千住8-17-1,高専,工,ものづくり工学科（5年制）,35.735588,139.809402,南千住:15|鐘ヶ淵:18|牛田:20|京成関屋:20,kosen,高専は入試の方式が都立高校と異なるため、点数では判定していません,東京都立産業技術高等専門学校 公式サイト,国土地理院 地名検索API（住所から取得）
