raw_name,normalized,org_type,schools,variants_in_group,decided_by
ゲームプログラミング同好会,ゲームプログラミング,同好会,1,1,auto
TESS部,TESS,部,1,1,auto
SSWE部,SSWE,部,1,1,auto
ファッション＆クッキング部,ファッション&クッキング,部,1,1,auto
日本の伝統文化部,日本の伝統文化,部,1,1,auto
文芸創作部,文芸創作,部,1,1,auto
野外活動部,野外活動,部,1,1,auto
韓国語部,韓国語,部,1,1,auto
被服部,被服,部,1,1,auto
フラ部,フラ,部,1,1,auto
イラストデザイン部,イラストデザイン,部,1,1,auto
生活デザイン同好会,生活デザイン,同好会,1,1,auto
電子機械工作部,電子機械工作,部,1,1,auto
読書部,読書,部,1,1,auto
無線部,無線,部,1,1,auto
ユースボランティア部,ユースボランティア,部,1,1,auto
馬術部,馬術,部,1,1,auto
外国研究部,外国研究,部,1,1,auto
果樹研究部,果樹研究,部,1,1,auto
草花研究部,草花研究,部,1,1,auto
植物バイオテクノロジー研究部,植物バイオテクノロジー研究,部,1,1,auto
野菜研究部,野菜研究,部,1,1,auto
製菓製パン研究部,製菓製パン研究,部,1,1,auto
農産加工研究部,農産加工研究,部,1,1,auto
造園測量部,造園測量,部,1,1,auto
農芸研究部,農芸研究,部,1,1,auto
折り紙研究部,折り紙研究,部,1,1,auto
海外文化研究同好会,海外文化研究,同好会,1,1,auto
進路探究部,進路探究,部,1,1,auto
社会調査,社会調査,,1,1,auto
ストリートパフォーマンス部,ストリートパフォーマンス,部,1,1,auto
天文地球科学部,天文地球科学,部,1,1,auto
フリーミュージック部,フリーミュージック,部,1,1,auto
アコースティックハーモニー部,アコースティックハーモニー,部,1,1,auto
作法部,作法,部,1,1,auto
バトントワール部,バトントワール,部,1,1,auto
学習部,学習,部,1,1,auto
漫画研究・美術部,漫画研究美術,部,1,1,auto
ラクロス部,ラクロス,部,1,1,auto
日本拳法部,日本拳法,部,1,1,auto
映画・アニメ部,映画アニメ,部,1,1,auto
弦楽オーケストラ部,弦楽オーケストラ,部,1,1,auto
被服手芸部,被服手芸,部,1,1,auto
数学解法研究同好会,数学解法研究,同好会,1,1,auto
ＭＩＣ（マンガイラスト）,MIC,,1,1,auto
グラスアート部,グラスアート,部,1,1,auto
クラフト部,クラフト,部,1,1,auto
テクニカル部,テクニカル,部,1,1,auto
電力部,電力,部,1,1,auto
無線技術部,無線技術,部,1,1,auto
立体創作部,立体創作,部,1,1,auto
デジタル・ドローン・防災部,デジタルドローン防災,部,1,1,auto
男女バスケットボール部,男女バスケットボール,部,1,1,auto
物理研究,物理研究,,1,1,auto
外国文化研究部,外国文化研究,部,1,1,auto
アニメ研究部,アニメ研究,部,1,1,auto
くっきんぐ部,くっきんぐ,部,1,1,auto
ストリングオーケストラ部,ストリングオーケストラ,部,1,1,auto
アニメーション研究部,アニメーション研究,部,1,1,auto
フリークライミング部,フリークライミング,部,1,1,auto
理化部 化学,理化部化学,,1,1,auto
理化部 天文・地学,理化部天文地学,,1,1,auto
ビーチボールバレー部,ビーチボールバレー,部,1,1,auto
コーラスパフォーマンス部,コーラスパフォーマンス,部,1,1,auto
検定同好会,検定,同好会,1,1,auto
音楽館（軽音楽）部,音楽館,部,1,1,auto
華道/茶道部,華道/茶道,部,1,1,auto
相撲部,相撲,部,1,1,auto
登山部,登山,部,1,1,auto
アームレスリング部,アームレスリング,部,1,1,auto
多文化研究部,多文化研究,部,1,1,auto
自動車工作部,自動車工作,部,1,1,auto
ロボティクス研究部,ロボティクス研究,部,1,1,auto
建築研究部,建築研究,部,1,1,auto
情報電気部,情報電気,部,1,1,auto
応援団,応援団,,1,1,auto
パソコン研究部,パソコン研究,部,1,1,auto
ものづくり同好会,ものづくり,同好会,1,1,auto
ＡＩ部,AI,部,1,1,auto
邦楽部,邦楽,部,1,1,auto
English,English,,1,1,auto
Club,Club,,1,1,auto
Club・英語部,Club英語,部,1,1,auto
家政部,家政,部,1,1,auto
まんが部,まんが,部,1,1,auto
JRCボランティア部,JRCボランティア,部,1,1,auto
ＤＸ愛好会,DX,愛好会,1,1,auto
ヨット部,ヨット,部,1,1,auto
男子剣道部,男子剣道,部,1,1,auto
女子剣道部,女子剣道,部,1,1,auto
テコンドー部,テコンドー,部,1,1,auto
中国研究部,中国研究,部,1,1,auto
ＦＥＳＳ部,FESS,部,1,1,auto
ＭＡＣ部,MAC,部,1,1,auto
創作ダンス部,創作ダンス,部,1,1,auto
サステナブル同好会,サステナブル,同好会,1,1,auto
チアバトン部,チアバトン,部,1,1,auto
ゲートボール同好会,ゲートボール,同好会,1,1,auto
イラストコミック部,イラストコミック,部,1,1,auto
ミュージック部,ミュージック,部,1,1,auto
コンピューターサークル,コンピューターサークル,,1,1,auto
英検サークル,英検サークル,,1,1,auto
吹奏楽 軽音楽,吹奏楽軽音楽,,1,1,auto
Cooking,Cooking,,1,1,auto
メディア,メディア,,1,1,auto
声優研究,声優研究,,1,1,auto
ファッションデザイン部,ファッションデザイン,部,1,1,auto
メイプル部,メイプル,部,1,1,auto
福祉・ボランティア部,福祉ボランティア,部,1,1,auto
葛商AI同好会,葛商AI,同好会,1,1,auto
ゲーム部,ゲーム,部,1,1,auto
アニメコミック部,アニメコミック,部,1,1,auto
レスリング部,レスリング,部,1,1,auto
美術建築部,美術建築,部,1,1,auto
模型ラジコン部,模型ラジコン,部,1,1,auto
機械技術研究部,機械技術研究,部,1,1,auto
ラグビーフットボール部,ラグビーフットボール,部,1,1,auto
電子部,電子,部,1,1,auto
建築部,建築,部,1,1,auto
生花茶道部,生花茶道,部,1,1,auto
アウトドアライフ部,アウトドアライフ,部,1,1,auto
ＭＣＧ部,MCG,部,1,1,auto
調理科学部,調理科学,部,1,1,auto
ＬＥＧＯ競技同好会,LEGO競技,同好会,1,1,auto
魚類研究同好会,魚類研究,同好会,1,1,auto
フライングオブジェクトプロジェクト,フライングオブジェクトプロジェクト,,1,1,auto
奇術愛好会,奇術,愛好会,1,1,auto
武術研究愛好会,武術研究,愛好会,1,1,auto
小説・漫画愛好会,小説漫画,愛好会,1,1,auto
園芸加工部,園芸加工,部,1,1,auto
穀類加工部,穀類加工,部,1,1,auto
畜産加工部,畜産加工,部,1,1,auto
応用微生物部,応用微生物,部,1,1,auto
醸造部,醸造,部,1,1,auto
エンターテイメント部,エンターテイメント,部,1,1,auto
美術・アニメ・イラスト部,美術アニメイラスト,部,1,1,auto
ものつくり部,ものつくり,部,1,1,auto
ビジネス部,ビジネス,部,1,1,auto
競技カルタサークル,競技カルタサークル,,1,1,auto
囲碁・将棋サークル,囲碁将棋サークル,,1,1,auto
女子ラクロス部,女子ラクロス,部,1,1,auto
陶芸美術部,陶芸美術,部,1,1,auto
マンガ部,マンガ,部,1,1,auto
IT部,IT,部,1,1,auto
ネイチャー・ウォッチング同好会,ネイチャーウォッチング,同好会,1,1,auto
映画鑑賞部,映画鑑賞,部,1,1,auto
デザイン・イラスト部,デザインイラスト,部,1,1,auto
グローカル探究部,グローカル探究,部,1,1,auto
マニュアルアーツ部,マニュアルアーツ,部,1,1,auto
映画演劇部,映画演劇,部,1,1,auto
外国語同好会,外国語,同好会,1,1,auto
ひのミラ（持続可能な日野の未来を創る高校生チーム）,ひのミラ,,1,1,auto
将棋・チェス部,将棋チェス,部,1,1,auto
写真・映像部,写真映像,部,1,1,auto
茶生花部,茶生花,部,1,1,auto
トランポリン部,トランポリン,部,1,1,auto
ユニバーサルスポーツ同好会,ユニバーサルスポーツ,同好会,1,1,auto
漫画研究・文芸部,漫画研究文芸,部,1,1,auto
茶道・花道部,茶道花道,部,1,1,auto
茶道・華道部,茶道華道,部,1,1,auto
光画部,光画,部,1,1,auto
創作音楽同好会,創作音楽,同好会,1,1,auto
ゲームクリエイト部,ゲームクリエイト,部,1,1,auto
ビジネスライセンス部,ビジネスライセンス,部,1,1,auto
デザイン工芸部,デザイン工芸,部,1,1,auto
パソコン同好部,パソコン同好,部,1,1,auto
最新情報,最新情報,,1,1,auto
ストリートダンス部,ストリートダンス,部,1,1,auto
ブラックダンス部,ブラックダンス,部,1,1,auto
現代舞踊部,現代舞踊,部,1,1,auto
踊り部,踊り,部,1,1,auto
自然総合部,自然総合,部,1,1,auto
ＤＡＮＣＥ部,DANCE,部,1,1,auto
篠笛部,篠笛,部,1,1,auto
◆ 運 動 部,◆運動,部,1,1,auto
◆ 文 化 部,◆文化,部,1,1,auto
部,,部,1,1,auto
製菓製パン部,製菓製パン,部,1,1,auto
日本文化部,日本文化,部,1,1,auto
里山ネイチャー同好会,里山ネイチャー,同好会,1,1,auto
畑栽培部,畑栽培,部,1,1,auto
工芸同好会,工芸,同好会,1,1,auto
ソフトウェア開発同好会,ソフトウェア開発,同好会,1,1,auto
食品研究部,食品研究,部,1,1,auto
動物愛好部,動物愛好,部,1,1,auto
バイテク部,バイテク,部,1,1,auto
ESS英語同好会,ESS英語,同好会,1,1,auto
新体操部,新体操,部,1,1,auto
野外研究部,野外研究,部,1,1,auto
現代音楽部,現代音楽,部,1,1,auto
執筆部,執筆,部,1,1,auto
学力推進同好会,学力推進,同好会,1,1,auto
女子フットサル部,女子フットサル,部,1,1,auto
ハイキング・生物部,ハイキング生物,部,1,1,auto
ギター音楽部,ギター音楽,部,1,1,auto
調理研究同好会,調理研究,同好会,1,1,auto
ビームライフル部,ビームライフル,部,1,1,auto
ライトミュージック部,ライトミュージック,部,1,1,auto
スイーツ研究部,スイーツ研究,部,1,1,auto
レゴ部,レゴ,部,1,1,auto
民族音楽部,民族音楽,部,1,1,auto
野外活動研究部,野外活動研究,部,1,1,auto
中国切り絵部,中国切り絵,部,1,1,auto
カヌー＆ブリッジ同好会,カヌー&ブリッジ,同好会,1,1,auto
イラスト美術部,イラスト美術,部,1,1,auto
測量部,測量,部,1,1,auto
ガジェット同好会,ガジェット,同好会,1,1,auto
歩く建築同好会,歩く建築,同好会,1,1,auto
化学物理班,化学物理,班,1,1,auto
生活科学班,生活科学,班,1,1,auto
無線工作部,無線工作,部,1,1,auto
科学研究部数学班,科学研究部数学,班,1,1,auto
科学研究部生物班,科学研究部生物,班,1,1,auto
科学研究部生活科学班,科学研究部生活科学,班,1,1,auto
科学研究部化学物理班,科学研究部化学物理,班,1,1,auto
文芸漫画部,文芸漫画,部,1,1,auto
自然観察部,自然観察,部,1,1,auto
男女ハンドボール部,男女ハンドボール,部,1,1,auto
ユニバーサルホッケー部,ユニバーサルホッケー,部,1,1,auto
イラストアート部,イラストアート,部,1,1,auto
東京都立調布南高等学校硬式野球部,東京都立調布南高等学校硬式野球,部,1,1,auto
英語研究部,英語研究,部,1,1,auto
軽音学部,軽音学,部,1,1,auto
日本語クラブ,日本語,クラブ,1,1,auto
クラシックバレエ部,クラシックバレエ,部,1,1,auto
民俗音楽研究部,民俗音楽研究,部,1,1,auto
文学研究部,文学研究,部,1,1,auto
マジック研究部,マジック研究,部,1,1,auto
バドミンドン部,バドミンドン,部,1,1,auto
映画部,映画,部,1,1,auto
現代文芸同好会,現代文芸,同好会,1,1,auto
チアダンス部,チアダンス,部,1,1,auto
卓球研究会,卓球研究,,1,1,auto
イラスト・小説同好会,イラスト小説,同好会,1,1,auto
ダブルダッチ同好会,ダブルダッチ,同好会,1,1,auto
和（なごみ）同好会,和,同好会,1,1,auto
ピアノ研究会,ピアノ研究,,1,1,auto
自動車整備部,自動車整備,部,1,1,auto
マンガ研究部,マンガ研究,部,1,1,auto
CAD部,CAD,部,1,1,auto
食品化学部,食品化学,部,1,1,auto
児童研究部,児童研究,部,1,1,auto
神代農場部,神代農場,部,1,1,auto
サウンド部,サウンド,部,1,1,auto
専門部,専門,部,1,1,auto
文化部,文化,部,1,1,auto
男子バスケトボール部,男子バスケトボール,部,1,1,auto
Hawaii,Hawaii,,1,1,auto
Project,Project,,1,1,auto
神津高チャレンジ同好会,神津高チャレンジ,同好会,1,1,auto
軟式テニス部,軟式テニス,部,1,1,auto
潜水部,潜水,部,1,1,auto
カッター部,カッター,部,1,1,auto
ボルダリング部,ボルダリング,部,1,1,auto
ラケットスポーツ部,ラケットスポーツ,部,1,1,auto
大学受験同好会,大学受験,同好会,1,1,auto
自然保護研究会,自然保護研究,,1,1,auto
