school,department,sub_department,capacity,applicants,ratio
日比谷,普通科（ｺｰｽ、単位制以外の学校）,,253,507,2.0
三田,普通科（ｺｰｽ、単位制以外の学校）,,204,354,1.74
戸山,普通科（ｺｰｽ、単位制以外の学校）,,252,526,2.09
竹早,普通科（ｺｰｽ、単位制以外の学校）,,209,320,1.53
向丘,普通科（ｺｰｽ、単位制以外の学校）,,220,347,1.58
上野,普通科（ｺｰｽ、単位制以外の学校）,,252,481,1.91
日本橋,普通科（ｺｰｽ、単位制以外の学校）,,179,216,1.21
本所,普通科（ｺｰｽ、単位制以外の学校）,,189,285,1.51
城東,普通科（ｺｰｽ、単位制以外の学校）,,252,374,1.48
東,普通科（ｺｰｽ、単位制以外の学校）,,189,290,1.53
深川,普通科（ｺｰｽ、単位制以外の学校）,,185,335,1.81
大崎,普通科（ｺｰｽ、単位制以外の学校）,,221,339,1.53
小山台,普通科（ｺｰｽ、単位制以外の学校）,,252,368,1.46
八潮,普通科（ｺｰｽ、単位制以外の学校）,,168,128,0.76
駒場,普通科（ｺｰｽ、単位制以外の学校）,,220,423,1.92
目黒,普通科（ｺｰｽ、単位制以外の学校）,,189,265,1.4
大森,普通科（ｺｰｽ、単位制以外の学校）,,130,58,0.45
蒲田,普通科（ｺｰｽ、単位制以外の学校）,,85,93,1.09
田園調布,普通科（ｺｰｽ、単位制以外の学校）,,176,248,1.41
雪谷,普通科（ｺｰｽ、単位制以外の学校）,,221,358,1.62
桜町,普通科（ｺｰｽ、単位制以外の学校）,,252,290,1.15
千歳丘,普通科（ｺｰｽ、単位制以外の学校）,,221,252,1.14
深沢,普通科（ｺｰｽ、単位制以外の学校）,,142,123,0.87
松原,普通科（ｺｰｽ、単位制以外の学校）,,156,219,1.4
青山,普通科（ｺｰｽ、単位制以外の学校）,,221,433,1.96
広尾,普通科（ｺｰｽ、単位制以外の学校）,,185,331,1.79
鷺宮,普通科（ｺｰｽ、単位制以外の学校）,,220,362,1.65
武蔵丘,普通科（ｺｰｽ、単位制以外の学校）,,253,391,1.55
杉並,普通科（ｺｰｽ、単位制以外の学校）,,253,323,1.28
豊多摩,普通科（ｺｰｽ、単位制以外の学校）,,252,538,2.13
西,普通科（ｺｰｽ、単位制以外の学校）,,252,407,1.62
豊島,普通科（ｺｰｽ、単位制以外の学校）,,252,534,2.12
文京,普通科（ｺｰｽ、単位制以外の学校）,,284,381,1.34
竹台,普通科（ｺｰｽ、単位制以外の学校）,,155,229,1.48
板橋,普通科（ｺｰｽ、単位制以外の学校）,,221,315,1.43
大山,普通科（ｺｰｽ、単位制以外の学校）,,137,99,0.72
北園,普通科（ｺｰｽ、単位制以外の学校）,,253,465,1.84
高島,普通科（ｺｰｽ、単位制以外の学校）,,252,273,1.08
井草,普通科（ｺｰｽ、単位制以外の学校）,,221,318,1.44
石神井,普通科（ｺｰｽ、単位制以外の学校）,,220,407,1.85
田柄,普通科（ｺｰｽ、単位制以外の学校）,,129,107,0.83
練馬,普通科（ｺｰｽ、単位制以外の学校）,,189,209,1.11
光丘,普通科（ｺｰｽ、単位制以外の学校）,,185,139,0.75
青井,普通科（ｺｰｽ、単位制以外の学校）,,142,77,0.54
足立,普通科（ｺｰｽ、単位制以外の学校）,,220,339,1.54
足立新田,普通科（ｺｰｽ、単位制以外の学校）,,209,202,0.97
足立西,普通科（ｺｰｽ、単位制以外の学校）,,156,176,1.13
足立東,普通科（ｺｰｽ、単位制以外の学校）,,122,128,1.05
江北,普通科（ｺｰｽ、単位制以外の学校）,,252,415,1.65
淵江,普通科（ｺｰｽ、単位制以外の学校）,,179,148,0.83
葛飾野,普通科（ｺｰｽ、単位制以外の学校）,,253,300,1.19
南葛飾,普通科（ｺｰｽ、単位制以外の学校）,,161,234,1.45
江戸川,普通科（ｺｰｽ、単位制以外の学校）,,253,372,1.47
葛西南,普通科（ｺｰｽ、単位制以外の学校）,,190,112,0.59
小岩,普通科（ｺｰｽ、単位制以外の学校）,,284,466,1.64
小松川,普通科（ｺｰｽ、単位制以外の学校）,,253,300,1.19
篠崎,普通科（ｺｰｽ、単位制以外の学校）,,222,187,0.84
紅葉川,普通科（ｺｰｽ、単位制以外の学校）,,189,224,1.19
片倉,普通科（ｺｰｽ、単位制以外の学校）,,189,228,1.21
八王子北,普通科（ｺｰｽ、単位制以外の学校）,,158,193,1.22
八王子東,普通科（ｺｰｽ、単位制以外の学校）,,252,382,1.52
富士森,普通科（ｺｰｽ、単位制以外の学校）,,249,299,1.2
松が谷,普通科（ｺｰｽ、単位制以外の学校）,,188,262,1.39
立川,普通科（ｺｰｽ、単位制以外の学校）,,220,333,1.51
武蔵野北,普通科（ｺｰｽ、単位制以外の学校）,,189,259,1.37
多摩,普通科（ｺｰｽ、単位制以外の学校）,,159,79,0.5
府中,普通科（ｺｰｽ、単位制以外の学校）,,252,349,1.38
府中西,普通科（ｺｰｽ、単位制以外の学校）,,237,254,1.07
府中東,普通科（ｺｰｽ、単位制以外の学校）,,240,302,1.26
昭和,普通科（ｺｰｽ、単位制以外の学校）,,252,392,1.56
拝島,普通科（ｺｰｽ、単位制以外の学校）,,221,218,0.99
