school,department,sub_department,capacity,applicants,ratio
神代,普通科（ｺｰｽ、単位制以外の学校）,,252,499,1.98
調布北,普通科（ｺｰｽ、単位制以外の学校）,,188,325,1.73
調布南,普通科（ｺｰｽ、単位制以外の学校）,,189,315,1.67
小川,普通科（ｺｰｽ、単位制以外の学校）,,252,307,1.22
成瀬,普通科（ｺｰｽ、単位制以外の学校）,,221,312,1.41
野津田,普通科（ｺｰｽ、単位制以外の学校）,,100,49,0.49
町田,普通科（ｺｰｽ、単位制以外の学校）,,253,296,1.17
山崎,普通科（ｺｰｽ、単位制以外の学校）,,138,92,0.67
小金井北,普通科（ｺｰｽ、単位制以外の学校）,,189,282,1.49
小平,普通科（ｺｰｽ、単位制以外の学校）,,157,222,1.41
小平西,普通科（ｺｰｽ、単位制以外の学校）,,222,266,1.2
小平南,普通科（ｺｰｽ、単位制以外の学校）,,221,287,1.3
日野,普通科（ｺｰｽ、単位制以外の学校）,,253,359,1.42
日野台,普通科（ｺｰｽ、単位制以外の学校）,,241,289,1.2
南平,普通科（ｺｰｽ、単位制以外の学校）,,253,364,1.44
東村山,普通科（ｺｰｽ、単位制以外の学校）,,116,178,1.53
東村山西,普通科（ｺｰｽ、単位制以外の学校）,,189,166,0.88
国立,普通科（ｺｰｽ、単位制以外の学校）,,252,386,1.53
福生,普通科（ｺｰｽ、単位制以外の学校）,,221,255,1.15
狛江,普通科（ｺｰｽ、単位制以外の学校）,,253,459,1.81
東大和,普通科（ｺｰｽ、単位制以外の学校）,,221,221,1.0
東大和南,普通科（ｺｰｽ、単位制以外の学校）,,220,288,1.31
清瀬,普通科（ｺｰｽ、単位制以外の学校）,,220,264,1.2
久留米西,普通科（ｺｰｽ、単位制以外の学校）,,188,221,1.18
武蔵村山,普通科（ｺｰｽ、単位制以外の学校）,,221,256,1.16
永山,普通科（ｺｰｽ、単位制以外の学校）,,243,235,0.97
羽村,普通科（ｺｰｽ、単位制以外の学校）,,172,125,0.73
秋留台,普通科（ｺｰｽ、単位制以外の学校）,,136,117,0.86
五日市,普通科（ｺｰｽ、単位制以外の学校）,,127,58,0.46
田無,普通科（ｺｰｽ、単位制以外の学校）,,252,305,1.21
保谷,普通科（ｺｰｽ、単位制以外の学校）,,253,355,1.4
大島,普通科（島しょの学校）,,80,29,0.36
新島,普通科（島しょの学校）,,40,17,0.43
神津,普通科（島しょの学校）,,40,14,0.35
三宅,普通科（島しょの学校）,,40,6,0.15
八丈,普通科（島しょの学校）,,77,28,0.36
小笠原,普通科（島しょの学校）,,30,16,0.53
深川,普通科（コース制の学校）,外国語,56,95,1.7
片倉,普通科（コース制の学校）,造形美術,56,53,0.95
松が谷,普通科（コース制の学校）,外国語,56,59,1.05
小平,普通科（コース制の学校）,外国語,56,69,1.23
新宿,普通科（単位制の学校）,,284,551,1.94
忍岡,普通科（単位制の学校）,,124,115,0.93
墨田川,普通科（単位制の学校）,,252,278,1.1
美原,普通科（単位制の学校）,,156,153,0.98
芦花,普通科（単位制の学校）,,220,445,2.02
飛鳥,普通科（単位制の学校）,,170,179,1.05
板橋有徳,普通科（単位制の学校）,,156,155,0.99
大泉桜,普通科（単位制の学校）,,156,191,1.22
翔陽,普通科（単位制の学校）,,193,147,0.76
国分寺,普通科（単位制の学校）,,252,421,1.67
上水,普通科（単位制の学校）,,188,248,1.32
三田,普通科（海外帰国生徒対象）,,18,33,1.83
竹早,普通科（海外帰国生徒対象）,,13,21,1.62
日野台,普通科（海外帰国生徒対象）,,13,11,0.85
芝商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,99,105,1.06
江東商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,105,93,0.89
第三商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,105,92,0.88
第一商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,126,110,0.87
第四商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,105,73,0.7
葛飾商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,126,140,1.11
第五商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,126,164,1.3
大田桜台,ビジネスコミュニケーション科,ﾋﾞｼﾞﾈｽｺﾐｭﾆｹｰｼｮﾝ,105,81,0.77
千早,ビジネスコミュニケーション科,ﾋﾞｼﾞﾈｽｺﾐｭﾆｹｰｼｮﾝ,126,164,1.3
工芸,工業に関する学科（単位制以外の学校）,ﾏｼﾝｸﾗﾌﾄ,25,38,1.52
工芸,工業に関する学科（単位制以外の学校）,ｱｰﾄｸﾗﾌﾄ,25,38,1.52
工芸,工業に関する学科（単位制以外の学校）,ｲﾝﾃﾘｱ,25,36,1.44
工芸,工業に関する学科（単位制以外の学校）,ﾃﾞｻﾞｲﾝ,25,53,2.12
工芸,工業に関する学科（単位制以外の学校）,ｸﾞﾗﾌｨｯｸｱｰﾂ,25,38,1.52
蔵前工科,工業に関する学科（単位制以外の学校）,機械,49,22,0.45
蔵前工科,工業に関する学科（単位制以外の学校）,電気,19,35,1.84
蔵前工科,工業に関する学科（単位制以外の学校）,建築,21,17,0.81
蔵前工科,工業に関する学科（単位制以外の学校）,設備工業,22,5,0.23
墨田工科,工業に関する学科（単位制以外の学校）,機械,28,9,0.32
墨田工科,工業に関する学科（単位制以外の学校）,自動車,21,30,1.43
墨田工科,工業に関する学科（単位制以外の学校）,電気,45,24,0.53
墨田工科,工業に関する学科（単位制以外の学校）,建築,25,21,0.84
総合工科,工業に関する学科（単位制以外の学校）,機械・自動車,21,22,1.05
総合工科,工業に関する学科（単位制以外の学校）,電気・情報ﾃﾞｻﾞｲﾝ,42,18,0.43
総合工科,工業に関する学科（単位制以外の学校）,建築・都市工学,42,21,0.5
中野工科,工業に関する学科（単位制以外の学校）,食品ｻｲｴﾝｽ,63,55,0.87
杉並工科,工業に関する学科（単位制以外の学校）,IT・環境,118,31,0.26
荒川工科,工業に関する学科（単位制以外の学校）,電気,25,25,1.0
荒川工科,工業に関する学科（単位制以外の学校）,電子,34,3,0.09
荒川工科,工業に関する学科（単位制以外の学校）,情報技術,53,25,0.47
北豊島工科,工業に関する学科（単位制以外の学校）,都市防災技術,97,48,0.49
練馬工科,工業に関する学科（単位制以外の学校）,ｷｬﾘｱ技術,88,53,0.6
足立工科,工業に関する学科（単位制以外の学校）,総合技術,101,83,0.82
葛西工科,工業に関する学科（単位制以外の学校）,機械,21,11,0.52
葛西工科,工業に関する学科（単位制以外の学校）,電子,21,20,0.95
葛西工科,工業に関する学科（単位制以外の学校）,建築,49,32,0.65
葛西工科,工業に関する学科（単位制以外の学校）,ﾃﾞｭｱﾙｼｽﾃﾑ,24,16,0.67
府中工科,工業に関する学科（単位制以外の学校）,機械,21,23,1.1
府中工科,工業に関する学科（単位制以外の学校）,電気,42,25,0.6
府中工科,工業に関する学科（単位制以外の学校）,情報技術,21,42,2.0
府中工科,工業に関する学科（単位制以外の学校）,工業技術,21,19,0.9
町田工科,工業に関する学科（単位制以外の学校）,総合情報,105,108,1.03
多摩工科,工業に関する学科（単位制以外の学校）,機械,42,49,1.17
多摩工科,工業に関する学科（単位制以外の学校）,電気,21,22,1.05
多摩工科,工業に関する学科（単位制以外の学校）,環境化学,21,11,0.52
多摩工科,工業に関する学科（単位制以外の学校）,ﾃﾞｭｱﾙｼｽﾃﾑ,22,16,0.73
田無工科,工業に関する学科（単位制以外の学校）,機械,42,34,0.81
田無工科,工業に関する学科（単位制以外の学校）,建築,42,33,0.79
田無工科,工業に関する学科（単位制以外の学校）,都市工学,21,20,0.95
六郷工科,工業に関する学科（単位制の学校）,ものづくり工学,96,68,0.71
科学技術,科学技術科,科学技術,105,106,1.01
多摩科学技術,科学技術科,科学技術,147,213,1.45
園芸,農業に関する学科,園芸,49,55,1.12
園芸,農業に関する学科,食品,25,33,1.32
園芸,農業に関する学科,動物,25,63,2.52
農芸,農業に関する学科,園芸科学,23,28,1.22
農芸,農業に関する学科,食品科学,46,51,1.11
農芸,農業に関する学科,緑地環境,23,22,0.96
農産,農業に関する学科,園芸ﾃﾞｻﾞｲﾝ,42,45,1.07
農産,農業に関する学科,食品,42,48,1.14
農業,農業に関する学科,都市園芸,21,33,1.57
農業,農業に関する学科,食品科学,21,36,1.71
農業,農業に関する学科,緑地計画,21,23,1.1
瑞穂農芸,農業に関する学科,園芸科学,25,28,1.12
瑞穂農芸,農業に関する学科,畜産科学,25,45,1.8
瑞穂農芸,農業に関する学科,食品,25,26,1.04
大島海洋国際,水産に関する学科,海洋国際,42,46,1.1
赤羽北桜,家庭に関する学科（単位制以外の学校）,保育・栄養,98,60,0.61
赤羽北桜,家庭に関する学科（単位制以外の学校）,調理,25,29,1.16
農業,家庭に関する学科（単位制以外の学校）,服飾,25,23,0.92
農業,家庭に関する学科（単位制以外の学校）,食物,25,34,1.36
瑞穂農芸,家庭に関する学科（単位制以外の学校）,生活ﾃﾞｻﾞｲﾝ,49,47,0.96
忍岡,家庭に関する学科（単位制の学校）,生活科学,49,44,0.9
赤羽北桜,福祉に関する学科,介護福祉,25,26,1.04
野津田,福祉に関する学科,福祉,25,6,0.24
科学技術,理数に関する学科,創造理数,37,72,1.95
立川,理数に関する学科,創造理数,35,158,4.51
総合芸術,芸術に関する学科,音楽,28,40,1.43
総合芸術,芸術に関する学科,美術,56,125,2.23
総合芸術,芸術に関する学科,舞台表現,28,35,1.25
駒場,体育に関する学科,保健体育,28,64,2.29
野津田,体育に関する学科,体育,24,21,0.88
国際,国際関係に関する学科,国際一般生徒対象,98,181,1.85
国際,国際関係に関する学科,日本人学校,15,17,1.13
国際,国際関係に関する学科,外国の学校,25,45,1.8
大島,併合科,農林・家政,35,7,0.2
三宅,併合科,農業・家政,35,3,0.09
八丈,併合科,園芸・家政,35,1,0.03
橘,産業科,産業,126,124,0.98
八王子桑志,産業科,ﾃﾞｻﾞｲﾝ分野,42,51,1.21
八王子桑志,産業科,ｸﾗﾌﾄ分野,21,21,1.0
八王子桑志,産業科,ｼｽﾃﾑ情報分野,21,25,1.19
八王子桑志,産業科,ﾋﾞｼﾞﾈｽ情報分野,42,24,0.57
晴海総合,総合学科,総合,192,321,1.67
つばさ総合,総合学科,総合,164,169,1.03
世田谷総合,総合学科,総合,164,160,0.98
杉並総合,総合学科,総合,150,254,1.69
王子総合,総合学科,総合,164,194,1.18
葛飾総合,総合学科,総合,136,157,1.15
青梅総合,総合学科,総合,164,200,1.22
町田総合,総合学科,総合,164,163,0.99
東久留米総合,総合学科,総合,164,233,1.42
若葉総合,総合学科,総合,164,185,1.13
若葉総合,定時制課程（単位制の学校）,学年相当,62,77,1.24
若葉総合,定時制課程（単位制の学校）,学年相当,62,60,0.97
若葉総合,定時制課程（単位制の学校）,学年相当,48,14,0.29
若葉総合,定時制課程（単位制の学校）,学年相当,100,205,2.05
若葉総合,定時制課程（単位制の学校）,学年相当以上,50,5,0.1
若葉総合,定時制課程（単位制の学校）,学年相当,46,64,1.39
若葉総合,定時制課程（単位制の学校）,学年相当,65,81,1.25
若葉総合,定時制課程（単位制の学校）,学年相当,68,82,1.21
若葉総合,定時制課程（単位制の学校）,学年相当,48,14,0.29
若葉総合,定時制課程（単位制の学校）,学年相当,62,46,0.74
若葉総合,定時制課程（単位制の学校）,学年相当,69,37,0.54
若葉総合,定時制課程（単位制の学校）,学年相当,48,5,0.1
若葉総合,定時制課程（単位制の学校）,学年相当,72,103,1.43
若葉総合,定時制課程（単位制の学校）,学年相当,72,80,1.11
若葉総合,定時制課程（単位制の学校）,学年相当,48,30,0.63
若葉総合,定時制課程（単位制の学校）,学年相当,130,140,1.08
若葉総合,定時制課程（単位制の学校）,学年相当以上,15,0,0.0
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,170,336,1.98
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,4,0.27
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,170,216,1.27
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,3,0.2
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,170,188,1.11
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,0,0.0
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,230,311,1.35
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,1,0.07
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,170,206,1.21
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,2,0.13
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,260,283,1.09
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,4,0.27
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,170,434,2.55
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,60,71,1.18
