school,department,sub_department,capacity,applicants,ratio
赤羽北桜,家庭に関する学科（単位制以外の学校）,保育・栄養,98,96,0.98
赤羽北桜,家庭に関する学科（単位制以外の学校）,調理,25,40,1.6
農業,家庭に関する学科（単位制以外の学校）,服飾,25,25,1.0
農業,家庭に関する学科（単位制以外の学校）,食物,25,35,1.4
瑞穂農芸,家庭に関する学科（単位制以外の学校）,生活ﾃﾞｻﾞｲﾝ,49,26,0.53
忍岡,家庭に関する学科（単位制の学校）,生活科学,49,54,1.1
赤羽北桜,福祉に関する学科,介護福祉,25,27,1.08
野津田,福祉に関する学科,福祉,29,7,0.24
科学技術,理数に関する学科,創造理数,37,69,1.86
立川,理数に関する学科,創造理数,34,141,4.15
総合芸術,芸術に関する学科,音楽,28,33,1.18
総合芸術,芸術に関する学科,美術,56,111,1.98
総合芸術,芸術に関する学科,舞台表現,28,38,1.36
駒場,体育に関する学科,保健体育,28,34,1.21
野津田,体育に関する学科,体育,28,28,1.0
国際,国際関係に関する学科,国際一般生徒対象,98,199,2.03
国際,国際関係に関する学科,日本人学校,15,15,1.0
国際,国際関係に関する学科,外国の学校,25,36,1.44
大島,併合科,農林・家政,35,10,0.29
三宅,併合科,農業・家政,35,3,0.09
八丈,併合科,園芸・家政,35,3,0.09
橘,産業科,産業,148,78,0.53
八王子桑志,産業科,ﾃﾞｻﾞｲﾝ分野,42,46,1.1
八王子桑志,産業科,ｸﾗﾌﾄ分野,21,27,1.29
八王子桑志,産業科,ｼｽﾃﾑ情報分野,21,32,1.52
八王子桑志,産業科,ﾋﾞｼﾞﾈｽ情報分野,42,44,1.05
晴海総合,総合学科,総合,192,399,2.08
つばさ総合,総合学科,総合,164,183,1.12
世田谷総合,総合学科,総合,164,188,1.15
杉並総合,総合学科,総合,150,213,1.42
王子総合,総合学科,総合,164,175,1.07
葛飾総合,総合学科,総合,136,141,1.04
青梅総合,総合学科,総合,164,165,1.01
町田総合,総合学科,総合,164,165,1.01
東久留米総合,総合学科,総合,164,217,1.32
若葉総合,総合学科,総合,164,138,0.84
若葉総合,定時制課程（単位制の学校）,学年相当,62,43,0.69
若葉総合,定時制課程（単位制の学校）,学年相当,62,72,1.16
若葉総合,定時制課程（単位制の学校）,学年相当,48,24,0.5
若葉総合,定時制課程（単位制の学校）,学年相当,100,193,1.93
若葉総合,定時制課程（単位制の学校）,学年相当以上,50,6,0.12
若葉総合,定時制課程（単位制の学校）,学年相当,46,72,1.57
若葉総合,定時制課程（単位制の学校）,学年相当,62,55,0.89
若葉総合,定時制課程（単位制の学校）,学年相当,63,69,1.1
若葉総合,定時制課程（単位制の学校）,学年相当,48,11,0.23
若葉総合,定時制課程（単位制の学校）,学年相当,67,24,0.36
若葉総合,定時制課程（単位制の学校）,学年相当,67,49,0.73
若葉総合,定時制課程（単位制の学校）,学年相当,48,6,0.13
若葉総合,定時制課程（単位制の学校）,学年相当,72,101,1.4
若葉総合,定時制課程（単位制の学校）,学年相当,72,78,1.08
若葉総合,定時制課程（単位制の学校）,学年相当,48,19,0.4
若葉総合,定時制課程（単位制の学校）,学年相当,130,159,1.22
若葉総合,定時制課程（単位制の学校）,学年相当以上,15,0,0.0
若葉総合,定時制課程（単位制の学校）,",",120,987,0.88
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,200,369,1.85
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,2,0.13
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,200,275,1.38
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,0,0.0
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,170,205,1.21
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,0,0.0
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,230,296,1.29
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,0,0.0
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,170,173,1.02
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,1,0.07
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,260,213,0.82
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,1,0.07
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,170,362,2.13
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,2,0.13
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,60,74,1.23
国際,在京外国人生徒等対象入学者選抜（国際高校）,国際,25,80,3.2
日比谷,普通科（ｺｰｽ、単位制以外の学校）,,253,520,2.06
三田,普通科（ｺｰｽ、単位制以外の学校）,,236,343,1.45
戸山,普通科（ｺｰｽ、単位制以外の学校）,,252,474,1.88
竹早,普通科（ｺｰｽ、単位制以外の学校）,,177,293,1.66
向丘,普通科（ｺｰｽ、単位制以外の学校）,,220,345,1.57
上野,普通科（ｺｰｽ、単位制以外の学校）,,252,471,1.87
日本橋,普通科（ｺｰｽ、単位制以外の学校）,,189,204,1.08
本所,普通科（ｺｰｽ、単位制以外の学校）,,189,273,1.44
城東,普通科（ｺｰｽ、単位制以外の学校）,,252,413,1.64
東,普通科（ｺｰｽ、単位制以外の学校）,,189,298,1.58
深川,普通科（ｺｰｽ、単位制以外の学校）,,185,265,1.43
大崎,普通科（ｺｰｽ、単位制以外の学校）,,221,349,1.58
小山台,普通科（ｺｰｽ、単位制以外の学校）,,252,412,1.63
八潮,普通科（ｺｰｽ、単位制以外の学校）,,188,131,0.7
駒場,普通科（ｺｰｽ、単位制以外の学校）,,220,458,2.08
目黒,普通科（ｺｰｽ、単位制以外の学校）,,189,395,2.09
大森,普通科（ｺｰｽ、単位制以外の学校）,,127,64,0.5
蒲田,普通科（ｺｰｽ、単位制以外の学校）,,109,99,0.91
田園調布,普通科（ｺｰｽ、単位制以外の学校）,,188,306,1.63
雪谷,普通科（ｺｰｽ、単位制以外の学校）,,221,359,1.62
桜町,普通科（ｺｰｽ、単位制以外の学校）,,252,286,1.13
千歳丘,普通科（ｺｰｽ、単位制以外の学校）,,221,287,1.3
松原,普通科（ｺｰｽ、単位制以外の学校）,,156,246,1.58
青山,普通科（ｺｰｽ、単位制以外の学校）,,221,455,2.06
広尾,普通科（ｺｰｽ、単位制以外の学校）,,154,280,1.82
鷺宮,普通科（ｺｰｽ、単位制以外の学校）,,220,403,1.83
武蔵丘,普通科（ｺｰｽ、単位制以外の学校）,,253,319,1.26
杉並,普通科（ｺｰｽ、単位制以外の学校）,,253,357,1.41
豊多摩,普通科（ｺｰｽ、単位制以外の学校）,,252,419,1.66
西,普通科（ｺｰｽ、単位制以外の学校）,,252,383,1.52
豊島,普通科（ｺｰｽ、単位制以外の学校）,,252,535,2.12
文京,普通科（ｺｰｽ、単位制以外の学校）,,284,381,1.34
竹台,普通科（ｺｰｽ、単位制以外の学校）,,171,238,1.39
板橋,普通科（ｺｰｽ、単位制以外の学校）,,221,346,1.57
大山,普通科（ｺｰｽ、単位制以外の学校）,,157,72,0.46
北園,普通科（ｺｰｽ、単位制以外の学校）,,253,421,1.66
高島,普通科（ｺｰｽ、単位制以外の学校）,,252,282,1.12
井草,普通科（ｺｰｽ、単位制以外の学校）,,221,274,1.24
石神井,普通科（ｺｰｽ、単位制以外の学校）,,252,417,1.65
田柄,普通科（ｺｰｽ、単位制以外の学校）,,152,74,0.49
練馬,普通科（ｺｰｽ、単位制以外の学校）,,189,213,1.13
光丘,普通科（ｺｰｽ、単位制以外の学校）,,185,137,0.74
青井,普通科（ｺｰｽ、単位制以外の学校）,,164,67,0.41
足立,普通科（ｺｰｽ、単位制以外の学校）,,220,299,1.36
足立新田,普通科（ｺｰｽ、単位制以外の学校）,,222,231,1.04
足立西,普通科（ｺｰｽ、単位制以外の学校）,,156,162,1.04
足立東,普通科（ｺｰｽ、単位制以外の学校）,,138,117,0.85
江北,普通科（ｺｰｽ、単位制以外の学校）,,252,421,1.67
淵江,普通科（ｺｰｽ、単位制以外の学校）,,189,177,0.94
葛飾野,普通科（ｺｰｽ、単位制以外の学校）,,253,285,1.13
南葛飾,普通科（ｺｰｽ、単位制以外の学校）,,171,216,1.26
江戸川,普通科（ｺｰｽ、単位制以外の学校）,,253,393,1.55
葛西南,普通科（ｺｰｽ、単位制以外の学校）,,190,150,0.79
小岩,普通科（ｺｰｽ、単位制以外の学校）,,284,390,1.37
小松川,普通科（ｺｰｽ、単位制以外の学校）,,253,297,1.17
篠崎,普通科（ｺｰｽ、単位制以外の学校）,,222,198,0.89
紅葉川,普通科（ｺｰｽ、単位制以外の学校）,,189,226,1.2
片倉,普通科（ｺｰｽ、単位制以外の学校）,,189,232,1.23
八王子北,普通科（ｺｰｽ、単位制以外の学校）,,158,178,1.13
八王子東,普通科（ｺｰｽ、単位制以外の学校）,,252,308,1.22
富士森,普通科（ｺｰｽ、単位制以外の学校）,,249,320,1.29
松が谷,普通科（ｺｰｽ、単位制以外の学校）,,188,265,1.41
立川,普通科（ｺｰｽ、単位制以外の学校）,,220,323,1.47
武蔵野北,普通科（ｺｰｽ、単位制以外の学校）,,189,281,1.49
多摩,普通科（ｺｰｽ、単位制以外の学校）,,163,52,0.32
府中,普通科（ｺｰｽ、単位制以外の学校）,,252,410,1.63
府中西,普通科（ｺｰｽ、単位制以外の学校）,,235,267,1.14
府中東,普通科（ｺｰｽ、単位制以外の学校）,,253,328,1.3
昭和,普通科（ｺｰｽ、単位制以外の学校）,,252,472,1.87
拝島,普通科（ｺｰｽ、単位制以外の学校）,,221,213,0.96
神代,普通科（ｺｰｽ、単位制以外の学校）,,252,424,1.68
調布北,普通科（ｺｰｽ、単位制以外の学校）,,188,326,1.73
調布南,普通科（ｺｰｽ、単位制以外の学校）,,189,281,1.49
小川,普通科（ｺｰｽ、単位制以外の学校）,,252,285,1.13
成瀬,普通科（ｺｰｽ、単位制以外の学校）,,221,269,1.22
野津田,普通科（ｺｰｽ、単位制以外の学校）,,95,36,0.38
町田,普通科（ｺｰｽ、単位制以外の学校）,,253,306,1.21
山崎,普通科（ｺｰｽ、単位制以外の学校）,,166,62,0.37
小金井北,普通科（ｺｰｽ、単位制以外の学校）,,189,307,1.62
小平,普通科（ｺｰｽ、単位制以外の学校）,,157,235,1.5
小平西,普通科（ｺｰｽ、単位制以外の学校）,,222,256,1.15
小平南,普通科（ｺｰｽ、単位制以外の学校）,,221,317,1.43
日野,普通科（ｺｰｽ、単位制以外の学校）,,253,459,1.81
日野台,普通科（ｺｰｽ、単位制以外の学校）,,241,353,1.46
南平,普通科（ｺｰｽ、単位制以外の学校）,,253,329,1.3
東村山,普通科（ｺｰｽ、単位制以外の学校）,,136,133,0.98
東村山西,普通科（ｺｰｽ、単位制以外の学校）,,189,130,0.69
国立,普通科（ｺｰｽ、単位制以外の学校）,,252,330,1.31
福生,普通科（ｺｰｽ、単位制以外の学校）,,221,242,1.1
狛江,普通科（ｺｰｽ、単位制以外の学校）,,253,425,1.68
東大和,普通科（ｺｰｽ、単位制以外の学校）,,221,277,1.25
東大和南,普通科（ｺｰｽ、単位制以外の学校）,,220,367,1.67
清瀬,普通科（ｺｰｽ、単位制以外の学校）,,220,264,1.2
久留米西,普通科（ｺｰｽ、単位制以外の学校）,,188,169,0.9
武蔵村山,普通科（ｺｰｽ、単位制以外の学校）,,221,227,1.03
永山,普通科（ｺｰｽ、単位制以外の学校）,,246,234,0.95
羽村,普通科（ｺｰｽ、単位制以外の学校）,,204,71,0.35
秋留台,普通科（ｺｰｽ、単位制以外の学校）,,166,151,0.91
五日市,普通科（ｺｰｽ、単位制以外の学校）,,129,53,0.41
田無,普通科（ｺｰｽ、単位制以外の学校）,,252,299,1.19
保谷,普通科（ｺｰｽ、単位制以外の学校）,,253,364,1.44
大島,普通科（島しょの学校）,,80,27,0.34
新島,普通科（島しょの学校）,,40,9,0.23
神津,普通科（島しょの学校）,,40,17,0.43
三宅,普通科（島しょの学校）,,40,2,0.05
八丈,普通科（島しょの学校）,,80,29,0.36
小笠原,普通科（島しょの学校）,,30,16,0.53
深川,普通科（コース制の学校）,外国語,56,79,1.41
片倉,普通科（コース制の学校）,造形美術,56,37,0.66
松が谷,普通科（コース制の学校）,外国語,56,82,1.46
小平,普通科（コース制の学校）,外国語,56,81,1.45
新宿,普通科（単位制の学校）,,284,629,2.21
忍岡,普通科（単位制の学校）,,124,134,1.08
墨田川,普通科（単位制の学校）,,252,296,1.17
美原,普通科（単位制の学校）,,156,115,0.74
深沢,普通科（単位制の学校）,,130,82,0.63
芦花,普通科（単位制の学校）,,220,322,1.46
飛鳥,普通科（単位制の学校）,,170,196,1.15
板橋有徳,普通科（単位制の学校）,,156,155,0.99
大泉桜,普通科（単位制の学校）,,156,150,0.96
翔陽,普通科（単位制の学校）,,188,181,0.96
国分寺,普通科（単位制の学校）,,252,409,1.62
上水,普通科（単位制の学校）,,188,279,1.48
三田,普通科（海外帰国生徒対象）,,18,24,1.33
竹早,普通科（海外帰国生徒対象）,,13,24,1.85
日野台,普通科（海外帰国生徒対象）,,13,19,1.46
