school,department,sub_department,capacity,applicants,ratio
芝商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,100,84,0.84
江東商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,105,93,0.89
第三商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,105,115,1.1
第一商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,131,68,0.52
第四商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,105,85,0.81
葛飾商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,126,106,0.84
第五商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,126,166,1.32
大田桜台,ビジネスコミュニケーション科,ﾋﾞｼﾞﾈｽｺﾐｭﾆｹｰｼｮﾝ,105,87,0.83
千早,ビジネスコミュニケーション科,ﾋﾞｼﾞﾈｽｺﾐｭﾆｹｰｼｮﾝ,126,140,1.11
工芸,工業に関する学科（単位制以外の学校）,ﾏｼﾝｸﾗﾌﾄ,25,36,1.44
工芸,工業に関する学科（単位制以外の学校）,ｱｰﾄｸﾗﾌﾄ,25,34,1.36
工芸,工業に関する学科（単位制以外の学校）,ｲﾝﾃﾘｱ,25,49,1.96
工芸,工業に関する学科（単位制以外の学校）,ﾃﾞｻﾞｲﾝ,25,47,1.88
工芸,工業に関する学科（単位制以外の学校）,ｸﾞﾗﾌｨｯｸｱｰﾂ,25,46,1.84
蔵前工科,工業に関する学科（単位制以外の学校）,機械,41,17,0.41
蔵前工科,工業に関する学科（単位制以外の学校）,電気,21,20,0.95
蔵前工科,工業に関する学科（単位制以外の学校）,建築,21,25,1.19
蔵前工科,工業に関する学科（単位制以外の学校）,設備工業,24,9,0.38
墨田工科,工業に関する学科（単位制以外の学校）,機械,21,9,0.43
墨田工科,工業に関する学科（単位制以外の学校）,自動車,21,27,1.29
墨田工科,工業に関する学科（単位制以外の学校）,電気,46,16,0.35
墨田工科,工業に関する学科（単位制以外の学校）,建築,26,13,0.5
総合工科,工業に関する学科（単位制以外の学校）,機械・自動車,21,14,0.67
総合工科,工業に関する学科（単位制以外の学校）,電気・情報ﾃﾞｻﾞｲﾝ,21,11,0.52
総合工科,工業に関する学科（単位制以外の学校）,建築・都市工学,46,18,0.39
中野工科,工業に関する学科（単位制以外の学校）,食品ｻｲｴﾝｽ,84,73,0.87
杉並工科,工業に関する学科（単位制以外の学校）,IT・環境,111,36,0.32
荒川工科,工業に関する学科（単位制以外の学校）,電気,23,12,0.52
荒川工科,工業に関する学科（単位制以外の学校）,電子,25,4,0.16
荒川工科,工業に関する学科（単位制以外の学校）,情報技術,64,14,0.22
北豊島工科,工業に関する学科（単位制以外の学校）,都市防災技術,97,39,0.4
練馬工科,工業に関する学科（単位制以外の学校）,ｷｬﾘｱ技術,105,95,0.9
足立工科,工業に関する学科（単位制以外の学校）,総合技術,95,55,0.58
葛西工科,工業に関する学科（単位制以外の学校）,機械,21,17,0.81
葛西工科,工業に関する学科（単位制以外の学校）,電子,21,24,1.14
葛西工科,工業に関する学科（単位制以外の学校）,建築,49,28,0.57
葛西工科,工業に関する学科（単位制以外の学校）,ﾃﾞｭｱﾙｼｽﾃﾑ,31,19,0.61
府中工科,工業に関する学科（単位制以外の学校）,機械,21,27,1.29
府中工科,工業に関する学科（単位制以外の学校）,電気,43,27,0.63
府中工科,工業に関する学科（単位制以外の学校）,情報技術,21,28,1.33
府中工科,工業に関する学科（単位制以外の学校）,工業技術,21,19,0.9
町田工科,工業に関する学科（単位制以外の学校）,総合情報,108,53,0.49
多摩工科,工業に関する学科（単位制以外の学校）,機械,42,51,1.21
多摩工科,工業に関する学科（単位制以外の学校）,電気,21,18,0.86
多摩工科,工業に関する学科（単位制以外の学校）,環境化学,25,10,0.4
多摩工科,工業に関する学科（単位制以外の学校）,ﾃﾞｭｱﾙｼｽﾃﾑ,21,22,1.05
田無工科,工業に関する学科（単位制以外の学校）,機械,48,36,0.75
田無工科,工業に関する学科（単位制以外の学校）,建築,42,37,0.88
田無工科,工業に関する学科（単位制以外の学校）,都市工学,21,12,0.57
六郷工科,工業に関する学科（単位制の学校）,ものづくり工学,96,72,0.75
科学技術,科学技術科,科学技術,107,78,0.73
多摩科学技術,科学技術科,科学技術,147,209,1.42
園芸,農業に関する学科,園芸,49,45,0.92
園芸,農業に関する学科,食品,25,23,0.92
園芸,農業に関する学科,動物,25,52,2.08
農芸,農業に関する学科,園芸科学,23,29,1.26
農芸,農業に関する学科,食品科学,46,41,0.89
農芸,農業に関する学科,緑地環境,23,19,0.83
農産,農業に関する学科,園芸ﾃﾞｻﾞｲﾝ,42,41,0.98
農産,農業に関する学科,食品,42,51,1.21
農業,農業に関する学科,都市園芸,21,40,1.9
農業,農業に関する学科,食品科学,21,19,0.9
農業,農業に関する学科,緑地計画,21,18,0.86
瑞穂農芸,農業に関する学科,園芸科学,25,18,0.72
瑞穂農芸,農業に関する学科,畜産科学,25,31,1.24
瑞穂農芸,農業に関する学科,食品,25,23,0.92
大島海洋国際,水産に関する学科,海洋国際,42,57,1.36
