school,department,sub_department,capacity,applicants,ratio
日比谷,普通科（ｺｰｽ、単位制以外の学校）,,254,581,2.29
三田,普通科（ｺｰｽ、単位制以外の学校）,,237,405,1.71
戸山,普通科（ｺｰｽ、単位制以外の学校）,,253,490,1.94
竹早,普通科（ｺｰｽ、単位制以外の学校）,,178,338,1.9
向丘,普通科（ｺｰｽ、単位制以外の学校）,,253,376,1.49
上野,普通科（ｺｰｽ、単位制以外の学校）,,253,458,1.81
日本橋,普通科（ｺｰｽ、単位制以外の学校）,,212,271,1.28
本所,普通科（ｺｰｽ、単位制以外の学校）,,222,310,1.4
城東,普通科（ｺｰｽ、単位制以外の学校）,,253,457,1.81
東,普通科（ｺｰｽ、単位制以外の学校）,,222,368,1.66
深川,普通科（ｺｰｽ、単位制以外の学校）,,185,357,1.93
大崎,普通科（ｺｰｽ、単位制以外の学校）,,222,333,1.5
小山台,普通科（ｺｰｽ、単位制以外の学校）,,253,383,1.51
八潮,普通科（ｺｰｽ、単位制以外の学校）,,150,154,1.03
駒場,普通科（ｺｰｽ、単位制以外の学校）,,253,406,1.6
目黒,普通科（ｺｰｽ、単位制以外の学校）,,191,410,2.15
大森,普通科（ｺｰｽ、単位制以外の学校）,,159,77,0.48
蒲田,普通科（ｺｰｽ、単位制以外の学校）,,87,133,1.53
田園調布,普通科（ｺｰｽ、単位制以外の学校）,,170,350,2.06
雪谷,普通科（ｺｰｽ、単位制以外の学校）,,222,414,1.86
桜町,普通科（ｺｰｽ、単位制以外の学校）,,253,316,1.25
千歳丘,普通科（ｺｰｽ、単位制以外の学校）,,222,236,1.06
深沢,普通科（ｺｰｽ、単位制以外の学校）,,144,120,0.83
松原,普通科（ｺｰｽ、単位制以外の学校）,,190,291,1.53
青山,普通科（ｺｰｽ、単位制以外の学校）,,222,446,2.01
広尾,普通科（ｺｰｽ、単位制以外の学校）,,155,351,2.26
鷺宮,普通科（ｺｰｽ、単位制以外の学校）,,222,460,2.07
武蔵丘,普通科（ｺｰｽ、単位制以外の学校）,,254,497,1.96
杉並,普通科（ｺｰｽ、単位制以外の学校）,,254,382,1.5
豊多摩,普通科（ｺｰｽ、単位制以外の学校）,,253,491,1.94
西,普通科（ｺｰｽ、単位制以外の学校）,,253,462,1.83
豊島,普通科（ｺｰｽ、単位制以外の学校）,,253,506,2.0
文京,普通科（ｺｰｽ、単位制以外の学校）,,285,495,1.74
竹台,普通科（ｺｰｽ、単位制以外の学校）,,184,233,1.27
板橋,普通科（ｺｰｽ、単位制以外の学校）,,254,326,1.28
大山,普通科（ｺｰｽ、単位制以外の学校）,,171,140,0.82
北園,普通科（ｺｰｽ、単位制以外の学校）,,254,457,1.8
高島,普通科（ｺｰｽ、単位制以外の学校）,,253,330,1.3
井草,普通科（ｺｰｽ、単位制以外の学校）,,254,412,1.62
石神井,普通科（ｺｰｽ、単位制以外の学校）,,253,485,1.92
田柄,普通科（ｺｰｽ、単位制以外の学校）,,135,75,0.56
練馬,普通科（ｺｰｽ、単位制以外の学校）,,191,236,1.24
光丘,普通科（ｺｰｽ、単位制以外の学校）,,185,156,0.84
青井,普通科（ｺｰｽ、単位制以外の学校）,,152,105,0.69
足立,普通科（ｺｰｽ、単位制以外の学校）,,222,336,1.51
足立新田,普通科（ｺｰｽ、単位制以外の学校）,,210,218,1.04
足立西,普通科（ｺｰｽ、単位制以外の学校）,,158,186,1.18
足立東,普通科（ｺｰｽ、単位制以外の学校）,,123,160,1.3
江北,普通科（ｺｰｽ、単位制以外の学校）,,253,481,1.9
淵江,普通科（ｺｰｽ、単位制以外の学校）,,212,219,1.03
葛飾野,普通科（ｺｰｽ、単位制以外の学校）,,254,317,1.25
南葛飾,普通科（ｺｰｽ、単位制以外の学校）,,162,183,1.13
江戸川,普通科（ｺｰｽ、単位制以外の学校）,,286,435,1.52
葛西南,普通科（ｺｰｽ、単位制以外の学校）,,192,189,0.98
小岩,普通科（ｺｰｽ、単位制以外の学校）,,285,515,1.81
小松川,普通科（ｺｰｽ、単位制以外の学校）,,254,313,1.23
篠崎,普通科（ｺｰｽ、単位制以外の学校）,,223,277,1.24
紅葉川,普通科（ｺｰｽ、単位制以外の学校）,,222,286,1.29
片倉,普通科（ｺｰｽ、単位制以外の学校）,,191,300,1.57
八王子北,普通科（ｺｰｽ、単位制以外の学校）,,160,208,1.3
八王子東,普通科（ｺｰｽ、単位制以外の学校）,,253,325,1.28
富士森,普通科（ｺｰｽ、単位制以外の学校）,,282,426,1.51
松が谷,普通科（ｺｰｽ、単位制以外の学校）,,222,313,1.41
立川,普通科（ｺｰｽ、単位制以外の学校）,,222,310,1.4
武蔵野北,普通科（ｺｰｽ、単位制以外の学校）,,191,296,1.55
多摩,普通科（ｺｰｽ、単位制以外の学校）,,159,107,0.67
府中,普通科（ｺｰｽ、単位制以外の学校）,,222,448,2.02
府中西,普通科（ｺｰｽ、単位制以外の学校）,,236,314,1.33
府中東,普通科（ｺｰｽ、単位制以外の学校）,,241,349,1.45
昭和,普通科（ｺｰｽ、単位制以外の学校）,,253,478,1.89
拝島,普通科（ｺｰｽ、単位制以外の学校）,,222,236,1.06
神代,普通科（ｺｰｽ、単位制以外の学校）,,253,487,1.92
調布北,普通科（ｺｰｽ、単位制以外の学校）,,190,281,1.48
調布南,普通科（ｺｰｽ、単位制以外の学校）,,191,391,2.05
小川,普通科（ｺｰｽ、単位制以外の学校）,,253,349,1.38
成瀬,普通科（ｺｰｽ、単位制以外の学校）,,222,290,1.31
野津田,普通科（ｺｰｽ、単位制以外の学校）,,96,69,0.72
町田,普通科（ｺｰｽ、単位制以外の学校）,,254,312,1.23
山崎,普通科（ｺｰｽ、単位制以外の学校）,,140,138,0.99
小金井北,普通科（ｺｰｽ、単位制以外の学校）,,191,269,1.41
小平,普通科（ｺｰｽ、単位制以外の学校）,,159,215,1.35
小平西,普通科（ｺｰｽ、単位制以外の学校）,,223,286,1.28
小平南,普通科（ｺｰｽ、単位制以外の学校）,,222,345,1.55
日野,普通科（ｺｰｽ、単位制以外の学校）,,286,401,1.4
日野台,普通科（ｺｰｽ、単位制以外の学校）,,243,344,1.42
南平,普通科（ｺｰｽ、単位制以外の学校）,,254,381,1.5
東村山,普通科（ｺｰｽ、単位制以外の学校）,,119,208,1.75
東村山西,普通科（ｺｰｽ、単位制以外の学校）,,191,186,0.97
国立,普通科（ｺｰｽ、単位制以外の学校）,,253,372,1.47
福生,普通科（ｺｰｽ、単位制以外の学校）,,222,278,1.25
狛江,普通科（ｺｰｽ、単位制以外の学校）,,254,434,1.71
東大和,普通科（ｺｰｽ、単位制以外の学校）,,222,283,1.27
東大和南,普通科（ｺｰｽ、単位制以外の学校）,,222,313,1.41
清瀬,普通科（ｺｰｽ、単位制以外の学校）,,253,277,1.09
久留米西,普通科（ｺｰｽ、単位制以外の学校）,,190,231,1.22
武蔵村山,普通科（ｺｰｽ、単位制以外の学校）,,222,223,1.0
永山,普通科（ｺｰｽ、単位制以外の学校）,,234,260,1.11
羽村,普通科（ｺｰｽ、単位制以外の学校）,,202,137,0.68
秋留台,普通科（ｺｰｽ、単位制以外の学校）,,137,132,0.96
五日市,普通科（ｺｰｽ、単位制以外の学校）,,129,45,0.35
田無,普通科（ｺｰｽ、単位制以外の学校）,,253,367,1.45
保谷,普通科（ｺｰｽ、単位制以外の学校）,,254,364,1.43
大島,普通科（島しょの学校）,,80,36,0.45
新島,普通科（島しょの学校）,,40,8,0.2
神津,普通科（島しょの学校）,,40,14,0.35
三宅,普通科（島しょの学校）,,40,4,0.1
八丈,普通科（島しょの学校）,,77,37,0.48
小笠原,普通科（島しょの学校）,,30,29,0.97
深川,普通科（コース制の学校）,外国語,56,104,1.86
片倉,普通科（コース制の学校）,造形美術,56,73,1.3
松が谷,普通科（コース制の学校）,外国語,56,66,1.18
小平,普通科（コース制の学校）,外国語,56,85,1.52
新宿,普通科（単位制の学校）,,284,638,2.25
忍岡,普通科（単位制の学校）,,124,121,0.98
墨田川,普通科（単位制の学校）,,252,346,1.37
美原,普通科（単位制の学校）,,156,196,1.26
芦花,普通科（単位制の学校）,,220,434,1.97
飛鳥,普通科（単位制の学校）,,170,191,1.12
板橋有徳,普通科（単位制の学校）,,156,139,0.89
大泉桜,普通科（単位制の学校）,,156,124,0.79
翔陽,普通科（単位制の学校）,,188,200,1.06
国分寺,普通科（単位制の学校）,,252,410,1.63
上水,普通科（単位制の学校）,,188,250,1.33
三田,普通科（海外帰国生徒対象）,,18,22,1.22
竹早,普通科（海外帰国生徒対象）,,13,16,1.23
日野台,普通科（海外帰国生徒対象）,,13,13,1.0
芝商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,101,91,0.9
