school,department,sub_department,capacity,applicants,ratio
江東商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,122,83,0.68
第三商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,123,121,0.98
第一商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,126,135,1.07
第四商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,105,109,1.04
葛飾商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,126,144,1.14
第五商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,126,115,0.91
大田桜台,ビジネスコミュニケーション科,ﾋﾞｼﾞﾈｽｺﾐｭﾆｹｰｼｮﾝ,107,63,0.59
千早,ビジネスコミュニケーション科,ﾋﾞｼﾞﾈｽｺﾐｭﾆｹｰｼｮﾝ,126,164,1.3
工芸,工業に関する学科（単位制以外の学校）,ﾏｼﾝｸﾗﾌﾄ,25,31,1.24
工芸,工業に関する学科（単位制以外の学校）,ｱｰﾄｸﾗﾌﾄ,25,35,1.4
工芸,工業に関する学科（単位制以外の学校）,ｲﾝﾃﾘｱ,25,33,1.32
工芸,工業に関する学科（単位制以外の学校）,ﾃﾞｻﾞｲﾝ,25,54,2.16
工芸,工業に関する学科（単位制以外の学校）,ｸﾞﾗﾌｨｯｸｱｰﾂ,25,47,1.88
工芸,工業に関する学科（単位制以外の学校）,台東蔵前工業機械,41,23,0.56
工芸,工業に関する学科（単位制以外の学校）,電気,18,30,1.67
工芸,工業に関する学科（単位制以外の学校）,建築,18,12,0.67
工芸,工業に関する学科（単位制以外の学校）,設備工業,20,8,0.4
工芸,工業に関する学科（単位制以外の学校）,江東墨田工業機械,29,13,0.45
工芸,工業に関する学科（単位制以外の学校）,自動車,21,29,1.38
工芸,工業に関する学科（単位制以外の学校）,電気,54,24,0.44
工芸,工業に関する学科（単位制以外の学校）,建築,25,13,0.52
総合工科,工業に関する学科（単位制以外の学校）,機械・自動車,21,22,1.05
総合工科,工業に関する学科（単位制以外の学校）,電気・情報ﾃﾞｻﾞｲﾝ,46,16,0.35
総合工科,工業に関する学科（単位制以外の学校）,建築・都市工学,42,10,0.24
総合工科,工業に関する学科（単位制以外の学校）,中野中野工業ｷｬﾘｱ技術,63,47,0.75
杉並,工業に関する学科（単位制以外の学校）,工業機械,55,8,0.15
杉並,工業に関する学科（単位制以外の学校）,電子,21,15,0.71
杉並,工業に関する学科（単位制以外の学校）,理工環境,26,6,0.23
杉並,工業に関する学科（単位制以外の学校）,荒川荒川工業電気,21,13,0.62
杉並,工業に関する学科（単位制以外の学校）,電子,26,21,0.81
杉並,工業に関する学科（単位制以外の学校）,情報技術,46,19,0.41
板橋,工業に関する学科（単位制以外の学校）,北豊島工業総合技術,92,49,0.53
練馬,工業に関する学科（単位制以外の学校）,工業ｷｬﾘｱ技術,88,81,0.92
足立,工業に関する学科（単位制以外の学校）,工業総合技術,120,56,0.47
江戸川,工業に関する学科（単位制以外の学校）,葛西工業機械,22,21,0.95
江戸川,工業に関する学科（単位制以外の学校）,電子,24,25,1.04
江戸川,工業に関する学科（単位制以外の学校）,建築,50,43,0.86
江戸川,工業に関する学科（単位制以外の学校）,ﾃﾞｭｱﾙｼｽﾃﾑ,26,18,0.69
府中,工業に関する学科（単位制以外の学校）,工業機械,21,33,1.57
府中,工業に関する学科（単位制以外の学校）,電気,42,20,0.48
府中,工業に関する学科（単位制以外の学校）,情報技術,21,29,1.38
府中,工業に関する学科（単位制以外の学校）,工業技術,21,19,0.9
町田,工業に関する学科（単位制以外の学校）,工業総合情報,105,86,0.82
多摩,工業に関する学科（単位制以外の学校）,工業機械,42,43,1.02
多摩,工業に関する学科（単位制以外の学校）,電気,21,24,1.14
多摩,工業に関する学科（単位制以外の学校）,環境化学,21,13,0.62
多摩,工業に関する学科（単位制以外の学校）,ﾃﾞｭｱﾙｼｽﾃﾑ,23,6,0.26
田無,工業に関する学科（単位制以外の学校）,工業機械,48,22,0.46
田無,工業に関する学科（単位制以外の学校）,建築,42,30,0.71
田無,工業に関する学科（単位制以外の学校）,都市工学,21,12,0.57
六郷工科,工業に関する学科（単位制の学校）,ﾌﾟﾛﾀﾞｸﾄ工学,30,11,0.37
六郷工科,工業に関する学科（単位制の学校）,ｵｰﾄﾓﾋﾞﾙ工学,20,22,1.1
六郷工科,工業に関する学科（単位制の学校）,ｼｽﾃﾑ工学,20,13,0.65
六郷工科,工業に関する学科（単位制の学校）,ﾃﾞｻﾞｲﾝ工学,21,16,0.76
六郷工科,工業に関する学科（単位制の学校）,ﾃﾞｭｱﾙｼｽﾃﾑ,27,5,0.19
科学技術,科学技術科,科学技術,126,237,1.88
多摩科学技術,科学技術科,科学技術,147,265,1.8
園芸,農業に関する学科,園芸,49,46,0.94
園芸,農業に関する学科,食品,25,30,1.2
園芸,農業に関する学科,動物,25,52,2.08
農芸,農業に関する学科,園芸科学,23,31,1.35
農芸,農業に関する学科,食品科学,46,54,1.17
農芸,農業に関する学科,緑地環境,23,21,0.91
農産,農業に関する学科,園芸ﾃﾞｻﾞｲﾝ,42,48,1.14
農産,農業に関する学科,食品,42,53,1.26
農業,農業に関する学科,都市園芸,23,25,1.09
農業,農業に関する学科,食品科学,23,26,1.13
農業,農業に関する学科,緑地計画,23,27,1.17
瑞穂農芸,農業に関する学科,園芸科学,25,20,0.8
瑞穂農芸,農業に関する学科,畜産科学,25,40,1.6
瑞穂農芸,農業に関する学科,食品,25,17,0.68
大島海洋国際,水産に関する学科,海洋国際,42,28,0.67
赤羽北桜,家庭に関する学科（単位制以外の学校）,保育・栄養,98,61,0.62
赤羽北桜,家庭に関する学科（単位制以外の学校）,調理,25,47,1.88
農業,家庭に関する学科（単位制以外の学校）,服飾,25,25,1.0
農業,家庭に関する学科（単位制以外の学校）,食物,25,40,1.6
瑞穂農芸,家庭に関する学科（単位制以外の学校）,生活ﾃﾞｻﾞｲﾝ,49,50,1.02
忍岡,家庭に関する学科（単位制の学校）,生活科学,49,46,0.94
赤羽北桜,福祉に関する学科,介護福祉,25,21,0.84
野津田,福祉に関する学科,福祉,26,10,0.38
立川,理数に関する学科,創造理数,35,128,3.66
総合芸術,芸術に関する学科,音楽,28,32,1.14
総合芸術,芸術に関する学科,美術,56,120,2.14
総合芸術,芸術に関する学科,舞台表現,28,41,1.46
駒場,体育に関する学科,保健体育,28,52,1.86
野津田,体育に関する学科,体育,24,18,0.75
国際,国際関係に関する学科,国際一般生徒対象,98,279,2.85
国際,国際関係に関する学科,日本人学校,15,17,1.13
国際,国際関係に関する学科,外国の学校,25,42,1.68
大島,併合科,農林・家政,35,14,0.4
三宅,併合科,農業・家政,35,3,0.09
八丈,併合科,園芸・家政,35,5,0.14
橘,産業科,産業,147,159,1.08
八王子桑志,産業科,ﾃﾞｻﾞｲﾝ分野,49,55,1.12
八王子桑志,産業科,ｸﾗﾌﾄ分野,25,20,0.8
八王子桑志,産業科,ｼｽﾃﾑ情報分野,25,26,1.04
八王子桑志,産業科,ﾋﾞｼﾞﾈｽ情報分野,49,38,0.78
晴海総合,総合学科,総合,192,351,1.83
つばさ総合,総合学科,総合,164,193,1.18
世田谷総合,総合学科,総合,164,212,1.29
杉並総合,総合学科,総合,150,184,1.23
王子総合,総合学科,総合,164,264,1.61
葛飾総合,総合学科,総合,136,148,1.09
青梅総合,総合学科,総合,164,172,1.05
町田総合,総合学科,総合,164,167,1.02
東久留米総合,総合学科,総合,164,173,1.05
若葉総合,総合学科,総合,164,224,1.37
若葉総合,定時制課程（単位制の学校）,学年相当,72,78,1.08
若葉総合,定時制課程（単位制の学校）,学年相当,72,67,0.93
若葉総合,定時制課程（単位制の学校）,学年相当,48,24,0.5
若葉総合,定時制課程（単位制の学校）,学年相当,100,200,2.0
若葉総合,定時制課程（単位制の学校）,学年相当以上,50,5,0.1
若葉総合,定時制課程（単位制の学校）,学年相当,46,75,1.63
若葉総合,定時制課程（単位制の学校）,学年相当,72,64,0.89
若葉総合,定時制課程（単位制の学校）,学年相当,72,42,0.58
若葉総合,定時制課程（単位制の学校）,学年相当,48,6,0.13
若葉総合,定時制課程（単位制の学校）,学年相当,72,46,0.64
若葉総合,定時制課程（単位制の学校）,学年相当,72,56,0.78
若葉総合,定時制課程（単位制の学校）,学年相当,48,15,0.31
若葉総合,定時制課程（単位制の学校）,学年相当,72,107,1.49
若葉総合,定時制課程（単位制の学校）,学年相当,72,82,1.14
若葉総合,定時制課程（単位制の学校）,学年相当,48,31,0.65
若葉総合,定時制課程（単位制の学校）,学年相当,120,190,1.58
若葉総合,定時制課程（単位制の学校）,学年相当以上,15,0,0.0
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,170,290,1.71
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,1,0.07
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,170,283,1.66
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,0,0.0
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,170,264,1.55
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,1,0.07
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,230,332,1.44
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,0,0.0
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,170,120,0.71
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,0,0.0
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,230,308,1.34
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,1,0.07
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,60,105,1.75
