school_number,name,official_name,course,top_url,clubs_url,status,club_link_text,clubs_url_alt,via,source
401020,日比谷,日比谷高等学校,全日制（学年制）,https://www.metro.ed.jp/hibiya-h/,https://www.metro.ed.jp/hibiya-h/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/hibiya-h/news/activity/index.html,,東京都立学校ポータル 都立高校一覧(list.xlsx)
401040,三田,三田高等学校,全日制（学年制）,https://www.metro.ed.jp/mita-h/,https://www.metro.ed.jp/mita-h/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/mita-h/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
401210,大崎,大崎高等学校,全日制（学年制）,https://www.metro.ed.jp/osaki-h/,https://www.metro.ed.jp/osaki-h/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/osaki-h/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
401220,八潮,八潮高等学校,全日制（学年制）,https://yashio-h.metro.ed.jp/site/zen/,https://yashio-h.metro.ed.jp/site/zen/page_0000000_00365.html,ok,令和6年部活動計画書,https://yashio-h.metro.ed.jp/site/zen/cate_00003.html,,東京都立学校ポータル 都立高校一覧(list.xlsx)
401230,小山台,小山台高等学校,全日制（学年制）,https://www.metro.ed.jp/koyamadai-h/,https://www.metro.ed.jp/koyamadai-h/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/koyamadai-h/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
401240,雪谷,雪谷高等学校,全日制（学年制）,https://www.metro.ed.jp/yukigaya-h/,https://www.metro.ed.jp/yukigaya-h/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/yukigaya-h/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
401250,大森,大森高等学校,全日制（学年制）,https://www.metro.ed.jp/omori-h/,https://www.metro.ed.jp/omori-h/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/omori-h/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
401260,田園調布,田園調布高等学校,全日制（学年制）,https://www.metro.ed.jp/den-enchofu-h/,https://www.metro.ed.jp/den-enchofu-h/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/den-enchofu-h/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
401290,蒲田,蒲田高等学校,全日制（学年制）,https://www.metro.ed.jp/kamata-h/,https://www.metro.ed.jp/kamata-h/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/kamata-h/news/news-05/index.html,,東京都立学校ポータル 都立高校一覧(list.xlsx)
401410,つばさ総合,つばさ総合高等学校,全日制（単位制）,https://www.metro.ed.jp/tsubasasogo-h/,https://www.metro.ed.jp/tsubasasogo-h/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/tsubasasogo-h/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
