school_number,name,station,mode,ride_min,walk_min,total_min,alight_stop,detail,source_url
405720,荒川工科,千住大橋,walk,,12,12,,京成電鉄 千住大橋駅 徒歩12分,https://www.metro.ed.jp/arakawakoka-he/access/access.html
405720,荒川工科,三ノ輪橋,walk,,10,10,,都電荒川線 三ノ輪橋停留場 徒歩10分,https://www.metro.ed.jp/arakawakoka-he/access/access.html
405720,荒川工科,三ノ輪,walk,,12,12,,地下鉄日比谷線 三ノ輪駅 徒歩12分,https://www.metro.ed.jp/arakawakoka-he/access/access.html
405520,浅草,浅草,walk,,10,10,,東武スカイツリーライン 浅草駅 中央改札口から 徒歩約１０分,https://www.metro.ed.jp/asakusa-he/access/access.html
405520,浅草,南千住,bus,,,,,都バス（東４２甲）「南千住駅西口・車庫」行,https://www.metro.ed.jp/asakusa-he/access/access.html
405520,浅草,浅草橋,bus,15,2,17,浅草橋駅,「浅草橋駅」より約１５分／「東武浅草駅」より約５分、「浅草七丁目」にて下車し徒歩２分,https://www.metro.ed.jp/asakusa-he/access/access.html
405520,浅草,東京,bus,,,,,都バス（東４２甲）「東京駅八重洲口・東神田駅」行,https://www.metro.ed.jp/asakusa-he/access/access.html
405520,浅草,南千住,bus,10,1,11,南千住駅,「南千住駅」より約１０分、「浅草七丁目」にて下車し徒歩１分,https://www.metro.ed.jp/asakusa-he/access/access.html
405520,浅草,尾久,bus,25,6,31,尾久駅前,「尾久駅前」より約２５分、「浅草警察署前」にて下車し徒歩６分,https://www.metro.ed.jp/asakusa-he/access/access.html
405520,浅草,尾久,bus,,,,,→ バスの案内図はこちら,https://www.metro.ed.jp/asakusa-he/access/access.html
404510,飛鳥,ときわ台,bus,,3,,,新宿西口・上板橋・ときわ台駅・西新井大師・北千住方面より王子4丁目バス停徒歩3分,https://www.metro.ed.jp/asuka-h/access/access.html
404510,飛鳥,江北,bus,,8,,,日暮里舎人ライナー江北駅より王40系統王子方面行きバス豊島4丁目下車徒歩8分,https://www.metro.ed.jp/asuka-h/access/access.html
404050,文京,大塚,walk,,7,7,,JR山手線「大塚駅」北口から徒歩7分,https://www.metro.ed.jp/bunkyo-h/access/access.html
404050,文京,巣鴨新田,walk,,1,1,,都電荒川線「巣鴨新田駅」から徒歩1分,https://www.metro.ed.jp/bunkyo-h/access/access.html
404050,文京,西巣鴨,walk,,11,11,,都営三田線「西巣鴨駅」から徒歩11分,https://www.metro.ed.jp/bunkyo-h/access/access.html
404640,千早,千川,walk,,7,7,,東京メトロ有楽町線副都心線 千川駅 A3出口より徒歩7分,https://www.metro.ed.jp/chihaya-h/access/access.html
404640,千早,東長崎,walk,,10,10,,西武池袋線東長崎駅北口より徒歩10分,https://www.metro.ed.jp/chihaya-h/access/access.html
410030,調布北,調布,bus,15,,15,調布北高校前,調布駅北口12番乗り場から「三鷹駅行き」（鷹56） 所要時間約15分 「調布北高校前」下車,https://www.metro.ed.jp/chofukita-h/access/access.html
410030,調布北,吉祥寺,bus,20,,20,調布北高校前,吉祥寺駅４番乗り場から「調布駅北口行き」（吉06） 所要時間約20分 「調布北高校前」下車,https://www.metro.ed.jp/chofukita-h/access/access.html
410030,調布北,三鷹,bus,15,,15,調布北高校前,三鷹駅（南口）２番乗り場から「調布駅北口行き」（鷹56） 所用時間約15分 「調布北高校前」下車,https://www.metro.ed.jp/chofukita-h/access/access.html
410030,調布北,武蔵境,bus,10,,10,野崎八幡,武蔵境駅南口２番乗り場から「境南循環経由 武蔵境駅南口行き」（境92） 所要時間約10分 「野崎八幡」下車,https://www.metro.ed.jp/chofukita-h/access/access.html
410040,調布南,京王多摩川,walk,,3,3,,京王相模原線 京王多摩川駅から徒歩3分,https://www.metro.ed.jp/chofuminami-h/access/access.html
410040,調布南,調布,walk,,12,12,,京王線 調布駅から徒歩12分,https://www.metro.ed.jp/chofuminami-h/access/access.html
410610,第五商業,国立,walk,,18,18,,徒歩18分,https://www.metro.ed.jp/daigosyogyo-he/access/access.html
410610,第五商業,立川,bus,,2,,,国立駅6番バス停『立川駅南口行き』乗車『五商入口』にて下車徒歩2分,https://www.metro.ed.jp/daigosyogyo-he/access/access.html
410610,第五商業,谷保,walk,,16,16,,徒歩16分,https://www.metro.ed.jp/daigosyogyo-he/access/access.html
402620,第一商業,渋谷,walk,,13,13,,JR線・地下鉄 渋谷駅 徒歩13分,https://www.metro.ed.jp/daiichishogyo-h/access/access.html
402620,第一商業,代官山,walk,,7,7,,東急東横線 代官山駅 徒歩7分,https://www.metro.ed.jp/daiichishogyo-h/access/access.html
402620,第一商業,中目黒,walk,,12,12,,地下鉄 中目黒駅 徒歩12分,https://www.metro.ed.jp/daiichishogyo-h/access/access.html
402620,第一商業,神泉,walk,,17,17,,京王井の頭線 神泉駅 徒歩17分,https://www.metro.ed.jp/daiichishogyo-h/access/access.html
402620,第一商業,神泉,bus,,,,,バスの場合,https://www.metro.ed.jp/daiichishogyo-h/access/access.html
402620,第一商業,渋谷,bus,,,,第一商業高校,JR渋谷駅南口 35番バス乗り場から東急トランセ「第一商業高校」下車,https://www.metro.ed.jp/daiichishogyo-h/access/access.html
406640,第三商業,門前仲町,bus,,,,,場所は下町情緒あふれる門前仲町・深川界隈に位置し、交通機関は、東西線および大江戸線（門前仲町駅下車）、有楽町線（豊洲駅下車）、JR京葉線（越中島駅下車）、都バス（都立三商前下車）があり、どの方面からも通学が大変便利です。,https://www.metro.ed.jp/daisansyogyo-h/access/access.html
406640,第三商業,門前仲町,bus,,,,門前仲町,東京メトロ東西線・都営地下鉄大江戸線 「門前仲町」下車,https://www.metro.ed.jp/daisansyogyo-h/access/access.html
406640,第三商業,門前仲町,walk,,15,15,,〇２番出口から徒歩15分,https://www.metro.ed.jp/daisansyogyo-h/access/access.html
406640,第三商業,門前仲町,bus,,,,都立三商前,〇３番出口から都営バスに乗車 「都立三商前」下車,https://www.metro.ed.jp/daisansyogyo-h/access/access.html
406640,第三商業,豊洲,bus,,,,豊洲駅,東京メトロ有楽町線 「豊洲駅」下車,https://www.metro.ed.jp/daisansyogyo-h/access/access.html
406640,第三商業,豊洲,walk,,20,20,,〇１ａ番出口から徒歩20分,https://www.metro.ed.jp/daisansyogyo-h/access/access.html
406640,第三商業,豊洲,bus,,,,都立三商前,〇３番出口から都営バスに乗車 「都立三商前」下車,https://www.metro.ed.jp/daisansyogyo-h/access/access.html
406640,第三商業,越中島,walk,,8,8,,〇２番出口から徒歩８分,https://www.metro.ed.jp/daisansyogyo-h/access/access.html
406640,第三商業,門前仲町,bus,,,,,場所は下町情緒あふれる門前仲町・深川界隈に位置し、交通機関は、東西線および大江戸線（門前仲町駅下車）、有楽町線（豊洲駅下車）、JR京葉線（越中島駅下車）、都バス（都立三商前下車）があり、どの方面からも通学が大変便利です。,https://www.metro.ed.jp/daisansyogyo-he/access/access.html
406640,第三商業,門前仲町,walk,,18,18,,出口２番から徒歩１８分,https://www.metro.ed.jp/daisansyogyo-he/access/access.html
406640,第三商業,有明テニスの森,bus,,,,都立三商前,各「都立三商前」下車,https://www.metro.ed.jp/daisansyogyo-he/access/access.html
406640,第三商業,豊洲,walk,,20,20,,出口１番から徒歩２０分,https://www.metro.ed.jp/daisansyogyo-he/access/access.html
406640,第三商業,越中島,walk,,8,8,,徒歩８分,https://www.metro.ed.jp/daisansyogyo-he/access/access.html
403630,第四商業,富士見台,bus,,8,,,西武池袋線富士見台駅 北口 下車、徒歩8分,https://www.metro.ed.jp/daiyonsyogyo-h/access/access.html
403630,第四商業,練馬高野台,bus,,12,,,西武池袋線練馬高野台駅 北口 下車、徒歩12分,https://www.metro.ed.jp/daiyonsyogyo-h/access/access.html
406250,江戸川,新小岩,walk,,15,15,,南口より徒歩15分,https://www.metro.ed.jp/edogawa-h/access/access.html
406250,江戸川,西葛西,bus,,,,,都バス（葛西駅・西葛西駅・船堀駅ゆき）,https://www.metro.ed.jp/edogawa-h/access/access.html
406250,江戸川,江戸川,bus,,,,,江戸川高校前下車（徒歩2分）,https://www.metro.ed.jp/edogawa-h/access/access.html
406250,江戸川,江戸川,walk,,2,2,,江戸川高校前下車（徒歩2分）,https://www.metro.ed.jp/edogawa-h/access/access.html
402810,園芸,等々力,walk,,15,15,,東急大井町線 等々力駅下車 徒歩15分,https://www.metro.ed.jp/engei-h/access/access.html
402810,園芸,等々力,bus,,,,,東急バス利用の場合,https://www.metro.ed.jp/engei-h/access/access.html
402810,園芸,等々力,bus,5,3,8,園芸高校前,→等々力駅からバス5分、「園芸高校前」下車徒歩3分,https://www.metro.ed.jp/engei-h/access/access.html
402810,園芸,桜新町,walk,,20,20,,東急田園都市線 桜新町駅下車 徒歩20分,https://www.metro.ed.jp/engei-h/access/access.html
402810,園芸,桜新町,bus,,,,,東急バス利用の場合,https://www.metro.ed.jp/engei-h/access/access.html
402810,園芸,桜新町,bus,10,5,15,日本体育大学前,→桜新町駅からバス10分、「日本体育大学前」下車徒歩5分,https://www.metro.ed.jp/engei-h/access/access.html
402810,園芸,梅ヶ丘,bus,30,3,33,園芸高校前,→梅ヶ丘駅からバス30分、「園芸高校前」下車徒歩3分,https://www.metro.ed.jp/engei-h/access/access.html
402810,園芸,三軒茶屋,bus,,,,,「東急バス(渋82）等々力行き」は、渋谷・三軒茶屋・駒澤大学駅からも乗車できます。,https://www.metro.ed.jp/engei-h/access/access.html
402810,園芸,等々力,walk,,15,15,,東急大井町線 等々力駅下車 徒歩15分,https://www.metro.ed.jp/engei-he/access/access.html
402810,園芸,等々力,bus,,,,,東急バス利用の場合,https://www.metro.ed.jp/engei-he/access/access.html
402810,園芸,等々力,bus,5,3,8,園芸高校前,→等々力駅からバス5分、「園芸高校前」下車徒歩3分,https://www.metro.ed.jp/engei-he/access/access.html
402810,園芸,桜新町,walk,,20,20,,東急田園都市線 桜新町駅下車 徒歩20分,https://www.metro.ed.jp/engei-he/access/access.html
