school_number,name,station,mode,ride_min,walk_min,total_min,alight_stop,detail,source_url
406220,東,南砂町,bus,,,,,都営バス,https://www.metro.ed.jp/higashi-h/access/access.html
406220,東,南砂町,bus,,3,,東砂四丁目,「東砂四丁目」バス停下車 徒歩３分,https://www.metro.ed.jp/higashi-h/access/access.html
406220,東,大島,bus,10,,10,,大島駅より 都営バス 亀２１系統 １０分,https://www.metro.ed.jp/higashi-h/access/access.html
406220,東,東大島,bus,10,,10,,東大島駅より 都営バス 門２１系統 １０分,https://www.metro.ed.jp/higashi-h/access/access.html
406220,東,西大島,bus,10,,10,,西大島駅より 都営バス 両２８系統・亀２９系統 １０分,https://www.metro.ed.jp/higashi-h/access/access.html
406220,東,亀戸,bus,18,,18,,亀戸駅より 都営バス 両２８系統・亀２９・亀２１系統 １５～１８分,https://www.metro.ed.jp/higashi-h/access/access.html
409230,東村山,東村山,walk,,12,12,,西武新宿線／西武国分寺線・東村山駅東口より徒歩12分,https://www.metro.ed.jp/higashimurayama-h/access/access.html
409230,東村山,東村山,bus,3,,3,野際通り西,銀河鉄道バス「野際通り西」下車（所用3分）,https://www.metro.ed.jp/higashimurayama-h/access/access.html
409230,東村山,東村山,bus,,,,東村山高校,グリーンバス「東村山高校」下車,https://www.metro.ed.jp/higashimurayama-h/access/access.html
409280,東村山西,立川,bus,8,7,15,,西武バス [立３４] 立川駅北口行8分 明法学院前下車徒歩7分,https://www.metro.ed.jp/higashimurayamanishi-h/access/access.html
409280,東村山西,八坂,walk,,15,15,,西武多摩湖線 八坂駅 徒歩15分,https://www.metro.ed.jp/higashimurayamanishi-h/access/access.html
409280,東村山西,小川,walk,,20,20,,西武国分寺線・拝島線 小川駅 徒歩20分,https://www.metro.ed.jp/higashimurayamanishi-h/access/access.html
408060,東大和,上北台,walk,,10,10,,「上北台駅」より 徒歩10分,https://www.metro.ed.jp/higashiyamato-h/access/access.html
408060,東大和,東大和市,walk,,25,25,,「東大和市駅」より 徒歩25分,https://www.metro.ed.jp/higashiyamato-h/access/access.html
408060,東大和,東大和市,bus,,,,,西武バス,https://www.metro.ed.jp/higashiyamato-h/access/access.html
408060,東大和,東村山,bus,25,5,30,庚申塚,東村山駅西口行・イオンモール行 約25分「庚申塚」下車 徒歩5分,https://www.metro.ed.jp/higashiyamato-h/access/access.html
408060,東大和,東村山,bus,,,,,西武バス,https://www.metro.ed.jp/higashiyamato-h/access/access.html
408060,東大和,立川,bus,30,1,31,東大和高校,芝中団地行 約30分「東大和高校」下車 徒歩1分,https://www.metro.ed.jp/higashiyamato-h/access/access.html
408060,東大和,立川,bus,,,,,都営バス,https://www.metro.ed.jp/higashiyamato-h/access/access.html
408060,東大和,庚申塚,bus,5,5,10,庚申塚,青梅車庫行 約5分「庚申塚」下車 徒歩5分,https://www.metro.ed.jp/higashiyamato-h/access/access.html
408060,東大和,庚申塚,bus,,,,,西武バス,https://www.metro.ed.jp/higashiyamato-h/access/access.html
408060,東大和,立川,bus,15,5,20,庚申塚,立川駅北口行 約15分「庚申塚」下車 徒歩5分,https://www.metro.ed.jp/higashiyamato-h/access/access.html
403250,光丘,光が丘,walk,,12,12,,都営地下鉄大江戸線「光が丘」駅から徒歩12分,https://www.metro.ed.jp/hikarigaoka-h/access/access.html
403250,光丘,成増,walk,,15,15,,東武東上線「成増」駅から徒歩15分,https://www.metro.ed.jp/hikarigaoka-h/access/access.html
403250,光丘,成増,bus,,,,,成増駅より下車南口4番のりば 西武バス,https://www.metro.ed.jp/hikarigaoka-h/access/access.html
403250,光丘,成増,bus,,1,,光丘高校,（光31）光が丘駅行「光丘高校」下車、徒歩1分,https://www.metro.ed.jp/hikarigaoka-h/access/access.html
403250,光丘,練馬高野台,bus,,1,,光丘高校,西武バス（練高01）（練高02）成増駅行「光丘高校」下車、徒歩1分,https://www.metro.ed.jp/hikarigaoka-h/access/access.html
403250,光丘,石神井公園,bus,,5,,土支田交番,西武バス（吉60）成増駅行「土支田交番」下車、徒歩5分,https://www.metro.ed.jp/hikarigaoka-h/access/access.html
403250,光丘,保谷,bus,,1,,光丘高校角,コミュニティバス「みどりバス」光が丘駅行き「光丘高校角」下車、徒歩1分,https://www.metro.ed.jp/hikarigaoka-h/access/access.html
403250,光丘,保谷,bus,,,,,※バスでお越しの場合は、交通状況により遅延する恐れがありますので、余裕を持った移動をオススメします。,https://www.metro.ed.jp/hikarigaoka-h/access/access.html
407090,日野台,日野,walk,,13,13,,徒歩13分,https://www.metro.ed.jp/hinodai-h/access/access.html
407090,日野台,八王子,bus,5,4,9,日野自動車前,京王バス (日50)八王子駅北口行 約5分「日野自動車前」下車、徒歩4分,https://www.metro.ed.jp/hinodai-h/access/access.html
407090,日野台,豊田,bus,5,3,8,日野自動車前,京王バス (日11)豊田駅北口行 約5分「日野自動車前」下車、徒歩3分,https://www.metro.ed.jp/hinodai-h/access/access.html
407090,日野台,豊田,walk,,20,20,,徒歩20分,https://www.metro.ed.jp/hinodai-h/access/access.html
407090,日野台,日野,bus,5,3,8,日野自動車前,京王バス (日11)日野駅行 約5分「日野自動車前」下車、徒歩3分,https://www.metro.ed.jp/hinodai-h/access/access.html
407090,日野台,高幡不動,bus,,,,,京王線高幡不動駅（南口）下車,https://www.metro.ed.jp/hinodai-h/access/access.html
407090,日野台,日野,bus,15,15,30,日野市役所,京王バス (日02)日野駅行 約15分「日野市役所」下車、徒歩約15分,https://www.metro.ed.jp/hinodai-h/access/access.html
407090,日野台,日野,bus,15,15,30,日野市役所東,京王バス (日03)日野駅行 約15分「日野市役所東」下車、徒歩約15分,https://www.metro.ed.jp/hinodai-h/access/access.html
401010,一橋,馬喰町,walk,,3,3,,馬喰町 JR 総武快速線 徒歩3分,https://www.metro.ed.jp/hitotsubashi-hc/access/access.html
401010,一橋,馬喰横山,walk,,4,4,,馬喰横山 都営地下鉄新宿線 徒歩4分,https://www.metro.ed.jp/hitotsubashi-hc/access/access.html
401010,一橋,浅草橋,walk,,7,7,,浅草橋 徒歩7分,https://www.metro.ed.jp/hitotsubashi-hc/access/access.html
401010,一橋,東日本橋,walk,,8,8,,東日本橋 都営地下鉄浅草線 徒歩8分,https://www.metro.ed.jp/hitotsubashi-hc/access/access.html
401010,一橋,岩本町,walk,,10,10,,岩本町 都営地下鉄新宿線 徒歩10分,https://www.metro.ed.jp/hitotsubashi-hc/access/access.html
401010,一橋,秋葉原,walk,,13,13,,秋葉原 徒歩13分,https://www.metro.ed.jp/hitotsubashi-hc/access/access.html
401010,一橋,馬喰町,walk,,3,3,,馬喰町 JR 総武快速線 徒歩3分,https://www.metro.ed.jp/hitotsubashi-he/access/access.html
401010,一橋,馬喰横山,walk,,4,4,,馬喰横山 都営地下鉄新宿線 徒歩4分,https://www.metro.ed.jp/hitotsubashi-he/access/access.html
401010,一橋,浅草橋,walk,,7,7,,浅草橋 徒歩7分,https://www.metro.ed.jp/hitotsubashi-he/access/access.html
401010,一橋,東日本橋,walk,,8,8,,東日本橋 都営地下鉄浅草線 徒歩8分,https://www.metro.ed.jp/hitotsubashi-he/access/access.html
401010,一橋,岩本町,walk,,10,10,,岩本町 都営地下鉄新宿線 徒歩10分,https://www.metro.ed.jp/hitotsubashi-he/access/access.html
401010,一橋,秋葉原,walk,,13,13,,秋葉原 徒歩13分,https://www.metro.ed.jp/hitotsubashi-he/access/access.html
406030,本所,曳舟,bus,,10,,,曳舟駅【東武鉄道】下車 徒歩10分,https://www.metro.ed.jp/honjo-h/access/access.html
406030,本所,とうきょうスカイツリー,bus,,10,,,とうきょうスカイツリー駅【東武鉄道】下車 徒歩１０分,https://www.metro.ed.jp/honjo-h/access/access.html
406030,本所,錦糸町,bus,,2,,,向島2丁目バス停【都営バス】下車 徒歩2分,https://www.metro.ed.jp/honjo-h/access/access.html
406030,本所,金町,bus,,,,,※バスの本数は多くありません。詳しくは東京都交通局HPでご確認ください。,https://www.metro.ed.jp/honjo-h/access/access.html
406720,本所工科,金町,walk,,15,15,,地下鉄千代田線直通常磐線各駅停車金町駅北口より徒歩15分,https://www.metro.ed.jp/honjokoka-he/access/access.html
409040,保谷,保谷,walk,,15,15,,西武池袋線保谷駅下車 徒歩15分,https://www.metro.ed.jp/hoya-h/access/access.html
409040,保谷,ひばりヶ丘,walk,,18,18,,西武池袋線ひばりヶ丘駅下車 徒歩18分,https://www.metro.ed.jp/hoya-h/access/access.html
409040,保谷,武蔵境,bus,,18,,谷戸住宅,武蔵境駅～（境03／ひばりケ丘駅行き）「谷戸住宅」下車 徒歩18分,https://www.metro.ed.jp/hoya-h/access/access.html
409040,保谷,三鷹,bus,,9,,保谷庁舎,三鷹駅～（鷹21 ／保谷駅南口・天神山行き）「保谷庁舎」下車 徒歩9分,https://www.metro.ed.jp/hoya-h/access/access.html
409040,保谷,吉祥寺,bus,,9,,保谷庁舎,吉祥寺駅～（吉63 ／保谷駅南口・天神山行き）「保谷庁舎」下車 徒歩9分,https://www.metro.ed.jp/hoya-h/access/access.html
409040,保谷,吉祥寺,bus,,15,,保谷駅南口,吉祥寺駅～（吉66 ／保谷駅南口・天神山行き）「保谷駅南口」下車 徒歩15分,https://www.metro.ed.jp/hoya-h/access/access.html
409040,保谷,田無,bus,,8,,保谷庁舎,田無駅～（田41／天神山行き）「保谷庁舎」下車 徒歩8分,https://www.metro.ed.jp/hoya-h/access/access.html
409040,保谷,田無,bus,,18,,谷戸住宅,田無駅～（境03／ひばりケ丘駅行き）「谷戸住宅」下車 徒歩18分,https://www.metro.ed.jp/hoya-h/access/access.html
409040,保谷,西武柳沢,bus,,9,,保谷庁舎,西武柳沢駅～（吉63／保谷駅南口・天神山行き）「保谷庁舎」下車 徒歩9分,https://www.metro.ed.jp/hoya-h/access/access.html
409040,保谷,東伏見,bus,,15,,保谷駅南口,東伏見駅～（吉66／保谷駅南口・天神山行き）「保谷駅南口」下車 徒歩15分,https://www.metro.ed.jp/hoya-h/access/access.html
409040,保谷,保谷,bus,,9,,保谷庁舎,（はなバス／保谷駅南口行き）「保谷庁舎」下車 徒歩9分,https://www.metro.ed.jp/hoya-h/access/access.html
403220,井草,上石神井,walk,,10,10,,上石神井駅から 徒歩10分（急行・準急停車）,https://www.metro.ed.jp/igusa-h/access/access.html
403220,井草,上井草,walk,,8,8,,上井草駅から 徒歩8分（各駅停車）,https://www.metro.ed.jp/igusa-h/access/access.html
403220,井草,石神井公園,bus,,1,,,西武バス 石神井公園駅から荻窪駅行 井草高校前下車 徒歩1分,https://www.metro.ed.jp/igusa-h/access/access.html
404520,板橋有徳,東武練馬,bus,,5,,東武練馬駅,東武東上線「東武練馬駅」下車 徒歩5分,https://www.metro.ed.jp/itabashiyutoku-h/access/access.html
404520,板橋有徳,東武練馬,bus,,,,,バス停,https://www.metro.ed.jp/itabashiyutoku-h/access/access.html
404520,板橋有徳,東武練馬,bus,,3,,板橋有徳高校入口,「板橋有徳高校入口」下車 徒歩3分,https://www.metro.ed.jp/itabashiyutoku-h/access/access.html
404520,板橋有徳,東武練馬,bus,,3,,不動通り,「不動通り」下車 徒歩3分,https://www.metro.ed.jp/itabashiyutoku-h/access/access.html
404520,板橋有徳,東武練馬,bus,,5,,東武練馬駅,【電車】東武東上線「東武練馬駅」下車 徒歩５分,https://www.metro.ed.jp/itabashiyutoku-he/access/access.html
404520,板橋有徳,東武練馬,bus,,3,,板橋有徳高校入口,【バス】国際興業バス「板橋有徳高校入口」下車 徒歩３分,https://www.metro.ed.jp/itabashiyutoku-he/access/access.html
404520,板橋有徳,東武練馬,bus,,3,,不動通り,「不動通り」下車 徒歩３分,https://www.metro.ed.jp/itabashiyutoku-he/access/access.html
410020,神代,仙川,walk,,7,7,,①京王線仙川駅下車南へ徒歩約7分,https://www.metro.ed.jp/jindai-h/access/access.html
410020,神代,成城学園前,bus,,,,,②成城学園前駅より調布駅南口行バス 神代高校前下車すぐ,https://www.metro.ed.jp/jindai-h/access/access.html
410020,神代,狛江,bus,,,,,③狛江駅より成城学園前駅行バス 神代高校前下車すぐ,https://www.metro.ed.jp/jindai-h/access/access.html
410020,神代,吉祥寺,bus,,10,,,④三鷹・吉祥寺から仙川行バス 終点から徒歩約10 分,https://www.metro.ed.jp/jindai-h/access/access.html
410020,神代,仙川,walk,,7,7,,①京王線仙川駅下車南へ徒歩約7分,https://www.metro.ed.jp/jindai-he/access/access.html
410020,神代,成城学園前,bus,,,,,②成城学園前駅より調布駅南口行バス 神代高校前下車すぐ,https://www.metro.ed.jp/jindai-he/access/access.html
410020,神代,狛江,bus,,,,,③狛江駅より成城学園前駅行バス 神代高校前下車すぐ,https://www.metro.ed.jp/jindai-he/access/access.html
410020,神代,吉祥寺,bus,,10,,,④三鷹・吉祥寺から仙川行バス 終点から徒歩約10 分,https://www.metro.ed.jp/jindai-he/access/access.html
408510,上水,玉川上水,walk,,10,10,,玉川上水駅下車 徒歩10分,https://www.metro.ed.jp/josui-h/access/access.html
406780,科学技術,西大島,walk,,8,8,,東京メトロ半蔵門線「住吉」駅または都営新宿線「住吉」駅「西大島」駅下車徒歩８分,https://www.metro.ed.jp/kagakugijyutu-h/access/access.html
406780,科学技術,東京,bus,7,5,12,猿江2丁目,①都バス（東22）東京駅丸の内北口行または東陽町駅行約７分「猿江２丁目」下車 徒歩５分,https://www.metro.ed.jp/kagakugijyutu-h/access/access.html
406780,科学技術,東京,bus,8,2,10,大島2丁目,②都バス（錦28）東大島行約８分「大島２丁目」下車徒歩２分,https://www.metro.ed.jp/kagakugijyutu-h/access/access.html
406780,科学技術,東京,walk,,20,20,,③徒歩約２０分,https://www.metro.ed.jp/kagakugijyutu-h/access/access.html
406780,科学技術,亀戸,bus,6,5,11,大島1丁目,①都バス（亀29）なぎさニュータウン行約６分「大島１丁目」下車徒歩５分,https://www.metro.ed.jp/kagakugijyutu-h/access/access.html
406780,科学技術,西大島,bus,5,8,13,西大島駅前,②都バス（亀24）葛西橋行約５分「西大島駅前」下車徒歩約８分,https://www.metro.ed.jp/kagakugijyutu-h/access/access.html
406780,科学技術,東陽町,bus,8,5,13,猿江2丁目,東京メトロ東西線「東陽町」駅から、都バス（東22）錦糸町駅行約８分「猿江２丁目」下車徒歩５分,https://www.metro.ed.jp/kagakugijyutu-h/access/access.html
401290,蒲田,蒲田,walk,,7,7,,JR・東急池上線・東急多摩川線 JR蒲田駅 東口より 徒歩7分,https://www.metro.ed.jp/kamata-h/access/access.html
401290,蒲田,京急蒲田,walk,,15,15,,京急線 京急蒲田駅より 徒歩15分,https://www.metro.ed.jp/kamata-h/access/access.html
406270,葛西南,葛西,bus,,,,,都営バス 葛西24・臨海28－1・臨海28－2（8番乗り場）,https://www.metro.ed.jp/kasaiminami-h/access/access.html
406270,葛西南,西葛西,bus,,,,,都営バス 西葛20甲（1番乗り場）・亀29（5番乗り場）,https://www.metro.ed.jp/kasaiminami-h/access/access.html
406270,葛西南,葛西臨海公園,bus,,,,,都営バス 臨海28甲,https://www.metro.ed.jp/kasaiminami-h/access/access.html
406270,葛西南,葛西,bus,,,,,都営バス 葛西24甲・臨海28甲・臨海28乙（8番乗り場）,https://www.metro.ed.jp/kasaiminami-he/access/access.html
406270,葛西南,西葛西,bus,,,,,都営バス 西葛20甲（1番乗り場）・亀29（5番乗り場）,https://www.metro.ed.jp/kasaiminami-he/access/access.html
406270,葛西南,葛西臨海公園,bus,,,,,都営バス 臨海28甲,https://www.metro.ed.jp/kasaiminami-he/access/access.html
407030,片倉,江戸川,bus,,5,,,江戸川スポーツランド行または瑞江駅行 本一色下車 徒歩5分,https://www.metro.ed.jp/katakura-h/access/access.html
407030,片倉,中学校,bus,,5,,,東京ディズニーリゾート⇔亀有易 上一色中学校下車 徒歩5分,https://www.metro.ed.jp/katakura-h/access/access.html
406040,葛飾野,亀有,walk,,15,15,,徒歩15分,https://www.metro.ed.jp/katsushikano-h/access/access.html
406040,葛飾野,亀有,bus,,5,,,京成バス（京成小岩駅行または新小岩駅行）修徳学園入口下車 徒歩5分,https://www.metro.ed.jp/katsushikano-h/access/access.html
406040,葛飾野,お花茶屋,walk,,12,12,,徒歩12分,https://www.metro.ed.jp/katsushikano-h/access/access.html
406040,葛飾野,お花茶屋,bus,,,,,京成タウンバス（金町駅行）葛飾野高校下車,https://www.metro.ed.jp/katsushikano-h/access/access.html
406420,葛飾総合,金町,bus,,,,,常磐線各駅停車（東京メトロ千代田線直通）金町駅北口下車,https://www.metro.ed.jp/katsushikasogo-h/access/access.html
406420,葛飾総合,金町,bus,,,,葛飾総合高校,金町駅北口から京成バス「西水元三丁目」または「大場川水門」乗車、3つめの「葛飾総合高校」下車,https://www.metro.ed.jp/katsushikasogo-h/access/access.html
406420,葛飾総合,金町,walk,,15,15,,金町駅北口から徒歩15分です。,https://www.metro.ed.jp/katsushikasogo-h/access/access.html
406620,葛飾商業,京成高砂,walk,,10,10,,京成線「京成高砂」駅から徒歩１０分,https://www.metro.ed.jp/katsushikasyogyo-h/access/access.html
406620,葛飾商業,金町,walk,,20,20,,JR常磐線「金町」駅から徒歩２０分,https://www.metro.ed.jp/katsushikasyogyo-h/access/access.html
406620,葛飾商業,京成高砂,walk,,10,10,,京成線「京成高砂」駅から徒歩１０分,https://www.metro.ed.jp/katsushikasyogyo-he/access/access.html
406620,葛飾商業,金町,walk,,20,20,,JR常磐線「金町」駅から徒歩２０分,https://www.metro.ed.jp/katsushikasyogyo-he/access/access.html
404410,桐ヶ丘,北赤羽,walk,,8,8,,●JR埼京線・北赤羽駅 （赤羽口）から徒歩で約8分,https://www.metro.ed.jp/kirigaoka-he/access/access.html
404410,桐ヶ丘,赤羽,bus,5,,5,,●JR赤羽駅からバス（桐ヶ丘高校下車）で約5分,https://www.metro.ed.jp/kirigaoka-he/access/access.html
404410,桐ヶ丘,志村坂上,walk,,15,15,,●都営地下鉄三田線・志村坂上駅から徒歩で約15分,https://www.metro.ed.jp/kirigaoka-he/access/access.html
404730,北豊島工科,板橋本町,walk,,11,11,,都営三田線 板橋本町駅A4出口から 徒歩11分,https://www.metro.ed.jp/kitatoshimakoka-h/access/access.html
404730,北豊島工科,中板橋,walk,,9,9,,東武東上線 中板橋駅北口から 徒歩9分,https://www.metro.ed.jp/kitatoshimakoka-h/access/access.html
404730,北豊島工科,富士見町,walk,,3,3,,関東・国際 富士見町都営住宅前 徒歩3分,https://www.metro.ed.jp/kitatoshimakoka-h/access/access.html
404730,北豊島工科,富士見町,bus,,3,,,都バス 富士見町都営住宅前 徒歩3分,https://www.metro.ed.jp/kitatoshimakoka-h/access/access.html
404730,北豊島工科,板橋本町,walk,,11,11,,都営三田線 板橋本町駅 A4出口から 徒歩11分,https://www.metro.ed.jp/kitatoshimakoka-he/access/access.html
404730,北豊島工科,中板橋,walk,,9,9,,東武東上線 中板橋駅 北口から 徒歩9分,https://www.metro.ed.jp/kitatoshimakoka-he/access/access.html
404730,北豊島工科,中板橋,bus,,3,,,国際興業バス 北豊島工科高校前 徒歩3分,https://www.metro.ed.jp/kitatoshimakoka-he/access/access.html
404730,北豊島工科,富士見町,bus,,3,,,関東バス・国際興業バス 富士見町都営住宅前 徒歩3分,https://www.metro.ed.jp/kitatoshimakoka-he/access/access.html
404210,北園,下板橋,walk,,7,7,,東武東上線「下板橋駅」徒歩7分,https://www.metro.ed.jp/kitazono-h/access/access.html
404210,北園,板橋,walk,,9,9,,JR埼京線「板橋駅」徒歩9分,https://www.metro.ed.jp/kitazono-h/access/access.html
404210,北園,新板橋,walk,,6,6,,都営三田線「新板橋駅」徒歩6分,https://www.metro.ed.jp/kitazono-h/access/access.html
409250,清瀬,国分寺,bus,,,,,路線バス情報,https://www.metro.ed.jp/kiyose-h/access/access.html
409250,清瀬,武蔵小金井,walk,,1,1,,武蔵小金井駅→清瀬駅南口行「保育園入口」徒歩1分,https://www.metro.ed.jp/kiyose-h/access/access.html
409250,清瀬,清瀬,walk,,7,7,,志木・旭ヶ丘団地→清瀬駅北口行「清瀬駅北口」徒歩7分,https://www.metro.ed.jp/kiyose-h/access/access.html
409210,小平,小平,walk,,10,10,,西武新宿線 小平駅 南口出口より徒歩10分,https://www.metro.ed.jp/kodaira-h/access/access.html
409210,小平,青梅街道,walk,,10,10,,西武多摩湖線 青梅街道駅 改札出口より徒歩10分,https://www.metro.ed.jp/kodaira-h/access/access.html
409210,小平,新小平,walk,,20,20,,JR武蔵野線 新小平駅 改札出口より徒歩20分,https://www.metro.ed.jp/kodaira-h/access/access.html
409210,小平,国分寺,bus,,,,,西武バス 仲町バス停 武蔵小金井／国分寺駅より「小平駅南口」行,https://www.metro.ed.jp/kodaira-h/access/access.html
409270,小平南,国分寺,walk,,18,18,,JR中央線《国分寺》駅、西武国分寺・多摩湖線より徒歩18分。,https://www.metro.ed.jp/kodairaminami-h/access/access.html
409270,小平南,国分寺,bus,,5,,,駅北口から徒歩5分→西武バス「国分寺駅北口」停留所→「武蔵野美術大学」行,https://www.metro.ed.jp/kodairaminami-h/access/access.html
409270,小平南,国分寺,bus,,2,,けやき公園前,もしくは「小平営業所」行→2つ目の停留所「けやき公園前」下車→徒歩2分,https://www.metro.ed.jp/kodairaminami-h/access/access.html
409270,小平南,国分寺,bus,,7,,第三小学校,西武新宿線《小平》駅より 西武バス「国分寺北入口」行で「第三小学校」下車徒歩7分,https://www.metro.ed.jp/kodairaminami-h/access/access.html
409270,小平南,恋ヶ窪,walk,,15,15,,西武国分寺線《恋ヶ窪》駅より 徒歩15分,https://www.metro.ed.jp/kodairaminami-h/access/access.html
409270,小平南,一橋学園,walk,,20,20,,西武多摩湖線《一橋学園》駅より 徒歩20分,https://www.metro.ed.jp/kodairaminami-h/access/access.html
409030,小金井北,東小金井,walk,,11,11,,東小金井駅北口から、徒歩11分（案内図を参照）,https://www.metro.ed.jp/koganeikita-h/access/access.html
409030,小金井北,東小金井,bus,10,1,11,,東小金井駅北口から、武蔵小金井駅行きバス（京王）にて10分、小金井北高校下車徒歩1分,https://www.metro.ed.jp/koganeikita-h/access/access.html
409030,小金井北,武蔵小金井,walk,,15,15,,武蔵小金井駅北口から、徒歩15分,https://www.metro.ed.jp/koganeikita-h/access/access.html
409030,小金井北,武蔵小金井,bus,5,,5,,武蔵小金井駅北口から、東小金井駅行きバス（京王）にて5分、小金井北高校下車すぐ,https://www.metro.ed.jp/koganeikita-h/access/access.html
409030,小金井北,花小金井,bus,15,8,23,,花小金井駅から、武蔵小金井駅行きバス（西武）にて15分、本町二丁目下車徒歩8分,https://www.metro.ed.jp/koganeikita-h/access/access.html
409030,小金井北,清瀬,bus,25,8,33,,清瀬駅南口から、武蔵小金井駅行きバス（西武）にて25分、本町二丁目下車徒歩8分,https://www.metro.ed.jp/koganeikita-h/access/access.html
409030,小金井北,東久留米,bus,25,8,33,,東久留米駅北口バスターミナルから、武蔵小金井駅行きバス（西武）にて25分、本町二丁目下車徒歩8分,https://www.metro.ed.jp/koganeikita-h/access/access.html
409710,小金井工科,武蔵小金井,walk,,8,8,,JR中央線 武蔵小金井駅 徒歩8分,https://www.metro.ed.jp/koganeikoka-he/access/access.html
409710,小金井工科,府中,bus,,3,,,京王線府中駅から京王バス武蔵小金井駅行き小金井市役所前下車 徒歩3分,https://www.metro.ed.jp/koganeikoka-he/access/access.html
409710,小金井工科,武蔵小金井,bus,,9,,,西武新宿線花小金井駅から西武バス 武蔵小金井駅下車 徒歩9分,https://www.metro.ed.jp/koganeikoka-he/access/access.html
404710,工芸,後楽園,bus,,7,,後楽園駅,東京メトロ丸ノ内・南北線「後楽園駅」下車徒歩７分,https://www.metro.ed.jp/kogei-h/access/access.html
404710,工芸,水道橋,walk,,1,1,,JR総武線「水道橋」駅東口より徒歩1分,https://www.metro.ed.jp/kogei-he/access/access.html
404710,工芸,後楽園,walk,,7,7,,東京メトロ丸ノ内線／南北線「後楽園」駅より徒歩7分,https://www.metro.ed.jp/kogei-he/access/access.html
404710,工芸,春日,walk,,7,7,,都営三田線／大江戸線「春日」駅A1出口より徒歩7分,https://www.metro.ed.jp/kogei-he/access/access.html
405220,江北,青井,walk,,7,7,,つくばエクスプレス 青井駅から徒歩7分,https://www.metro.ed.jp/kohoku-h/access/access.html
405220,江北,綾瀬,walk,,10,10,,東京メトロ千代田線 綾瀬駅から徒歩10分,https://www.metro.ed.jp/kohoku-h/access/access.html
405220,江北,五反野,walk,,12,12,,東武スカイツリーライン 五反野駅から徒歩12分,https://www.metro.ed.jp/kohoku-h/access/access.html
406260,小岩,江戸川,bus,,5,,,江戸川スポーツランド行または瑞江駅行 本一色下車 徒歩5分,https://www.metro.ed.jp/koiwa-h/access/access.html
406260,小岩,亀有,bus,,5,,,東京ディズニーリゾート⇔亀有駅 上一色中学校下車 徒歩5分,https://www.metro.ed.jp/koiwa-h/access/access.html
409240,国分寺,国立,walk,,25,25,,徒歩 約25分,https://www.metro.ed.jp/kokubunji-h/access/access.html
409240,国分寺,国立,bus,,,,,本校までのアクセスは、バスの便数が少ないため徒歩が確実です。,https://www.metro.ed.jp/kokubunji-h/access/access.html
409240,国分寺,国分寺,bus,,3,,国分寺高校入口,→「国分寺高校入口」下車 徒歩3分(正門),https://www.metro.ed.jp/kokubunji-h/access/access.html
409240,国分寺,国分寺,bus,,5,,富士本三丁目,→「富士本三丁目」下車 徒歩5分(南門),https://www.metro.ed.jp/kokubunji-h/access/access.html
409240,国分寺,恋ヶ窪,walk,,25,25,,徒歩 約25分,https://www.metro.ed.jp/kokubunji-h/access/access.html
409240,国分寺,恋ヶ窪,bus,15,,15,,バス 約15分（立川バス）,https://www.metro.ed.jp/kokubunji-h/access/access.html
409240,国分寺,恋ヶ窪,bus,,5,,富士本三丁目,→「富士本三丁目」下車 徒歩5分(南門),https://www.metro.ed.jp/kokubunji-h/access/access.html
409240,国分寺,鷹の台,walk,,25,25,,徒歩 約25分,https://www.metro.ed.jp/kokubunji-h/access/access.html
409240,国分寺,鷹の台,bus,,,,,※時刻表やバス料金などの詳細は 立川バス株式会社のサイト をご覧ください。,https://www.metro.ed.jp/kokubunji-h/access/access.html
402030,駒場,駒場東大前,walk,,7,7,,京王井の頭線駒場東大前より徒歩7分,https://www.metro.ed.jp/komaba-h/access/access.html
402030,駒場,池尻大橋,walk,,7,7,,東急田園都市線池尻大橋より徒歩7分,https://www.metro.ed.jp/komaba-h/access/access.html
402030,駒場,池尻大橋,bus,,0,,,渋谷より東急バス51「松見坂上」徒歩0分,https://www.metro.ed.jp/komaba-h/access/access.html
406240,小松川,平井,walk,,12,12,,JR「平井」駅から徒歩12分,https://www.metro.ed.jp/komatsugawa-h/access/access.html
406240,小松川,平井,bus,,5,,小松川3丁目,都営バス 「小松川3丁目」から徒歩5分,https://www.metro.ed.jp/komatsugawa-h/access/access.html
406240,小松川,東大島,walk,,20,20,,都営新宿線 「東大島」駅から徒歩20分,https://www.metro.ed.jp/komatsugawa-h/access/access.html
406630,江東商業,亀戸水神,walk,,4,4,,東武亀戸線亀戸水神駅より徒歩４分,https://www.metro.ed.jp/kotosyogyo-h/access/access.html
406630,江東商業,亀戸,walk,,12,12,,ＪＲ総武緩行線亀戸駅北口より徒歩１２分,https://www.metro.ed.jp/kotosyogyo-h/access/access.html
401230,小山台,武蔵小山,walk,,0,0,,東急目黒線「武蔵小山」駅から徒歩0分です。「日本一駅から近い学校」と言われるほど、駅からのアクセスが良いです。,https://www.metro.ed.jp/koyamadai-h/access/access.html
410240,国立,国立,walk,,15,15,,JR中央線国立駅下車、南口より徒歩15分,https://www.metro.ed.jp/kunitachi-h/access/access.html
410240,国立,谷保,walk,,10,10,,JR南武線谷保駅下車、北口より徒歩10分,https://www.metro.ed.jp/kunitachi-h/access/access.html
410240,国立,谷保,bus,,,,,立川バス,https://www.metro.ed.jp/kunitachi-h/access/access.html
