school,department,sub_department,capacity,applicants,ratio
日野台,普通科（ｺｰｽ、単位制以外の学校）,,242,336,1.39
南平,普通科（ｺｰｽ、単位制以外の学校）,,254,396,1.56
東村山,普通科（ｺｰｽ、単位制以外の学校）,,118,153,1.3
東村山西,普通科（ｺｰｽ、単位制以外の学校）,,191,157,0.82
国立,普通科（ｺｰｽ、単位制以外の学校）,,254,419,1.65
福生,普通科（ｺｰｽ、単位制以外の学校）,,223,274,1.23
狛江,普通科（ｺｰｽ、単位制以外の学校）,,254,394,1.55
東大和,普通科（ｺｰｽ、単位制以外の学校）,,223,270,1.21
東大和南,普通科（ｺｰｽ、単位制以外の学校）,,222,350,1.58
清瀬,普通科（ｺｰｽ、単位制以外の学校）,,222,304,1.37
久留米西,普通科（ｺｰｽ、単位制以外の学校）,,190,199,1.05
武蔵村山,普通科（ｺｰｽ、単位制以外の学校）,,223,209,0.94
永山,普通科（ｺｰｽ、単位制以外の学校）,,241,276,1.15
羽村,普通科（ｺｰｽ、単位制以外の学校）,,195,172,0.88
秋留台,普通科（ｺｰｽ、単位制以外の学校）,,137,165,1.2
五日市,普通科（ｺｰｽ、単位制以外の学校）,,128,69,0.54
田無,普通科（ｺｰｽ、単位制以外の学校）,,254,338,1.33
保谷,普通科（ｺｰｽ、単位制以外の学校）,,254,378,1.49
大島,普通科（島しょの学校）,,80,27,0.34
新島,普通科（島しょの学校）,,40,13,0.33
神津,普通科（島しょの学校）,,40,15,0.38
三宅,普通科（島しょの学校）,,40,4,0.1
八丈,普通科（島しょの学校）,,78,38,0.49
小笠原,普通科（島しょの学校）,,30,16,0.53
深川,普通科（コース制の学校）,外国語,56,94,1.68
片倉,普通科（コース制の学校）,造形美術,56,77,1.38
松が谷,普通科（コース制の学校）,外国語,56,77,1.38
小平,普通科（コース制の学校）,外国語,56,106,1.89
新宿,普通科（単位制の学校）,,284,670,2.36
忍岡,普通科（単位制の学校）,,124,143,1.15
墨田川,普通科（単位制の学校）,,252,319,1.27
美原,普通科（単位制の学校）,,156,175,1.12
芦花,普通科（単位制の学校）,,220,424,1.93
飛鳥,普通科（単位制の学校）,,170,214,1.26
板橋有徳,普通科（単位制の学校）,,156,123,0.79
大泉桜,普通科（単位制の学校）,,156,173,1.11
翔陽,普通科（単位制の学校）,,188,237,1.26
国分寺,普通科（単位制の学校）,,252,429,1.7
上水,普通科（単位制の学校）,,188,262,1.39
三田,普通科（海外帰国生徒対象）,,18,27,1.5
竹早,普通科（海外帰国生徒対象）,,13,14,1.08
日野台,普通科（海外帰国生徒対象）,,13,12,0.92
芝商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,102,59,0.58
江東商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,105,64,0.61
第三商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,123,123,1.0
第一商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,126,132,1.05
第四商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,105,72,0.69
葛飾商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,126,107,0.85
第五商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,126,133,1.06
大田桜台,ビジネスコミュニケーション科,ﾋﾞｼﾞﾈｽｺﾐｭﾆｹｰｼｮﾝ,117,66,0.56
千早,ビジネスコミュニケーション科,ﾋﾞｼﾞﾈｽｺﾐｭﾆｹｰｼｮﾝ,126,187,1.48
工芸,工業に関する学科（単位制以外の学校）,ﾏｼﾝｸﾗﾌﾄ,25,44,1.76
工芸,工業に関する学科（単位制以外の学校）,ｱｰﾄｸﾗﾌﾄ,25,36,1.44
工芸,工業に関する学科（単位制以外の学校）,ｲﾝﾃﾘｱ,25,35,1.4
工芸,工業に関する学科（単位制以外の学校）,ﾃﾞｻﾞｲﾝ,25,53,2.12
工芸,工業に関する学科（単位制以外の学校）,ｸﾞﾗﾌｨｯｸｱｰﾂ,25,53,2.12
工芸,工業に関する学科（単位制以外の学校）,台東蔵前工業機械,42,13,0.31
工芸,工業に関する学科（単位制以外の学校）,電気,19,23,1.21
工芸,工業に関する学科（単位制以外の学校）,建築,20,15,0.75
工芸,工業に関する学科（単位制以外の学校）,設備工業,20,15,0.75
工芸,工業に関する学科（単位制以外の学校）,江東墨田工業機械,26,19,0.73
工芸,工業に関する学科（単位制以外の学校）,自動車,21,26,1.24
工芸,工業に関する学科（単位制以外の学校）,電気,47,16,0.34
工芸,工業に関する学科（単位制以外の学校）,建築,22,7,0.32
総合工科,工業に関する学科（単位制以外の学校）,機械・自動車,21,5,0.24
総合工科,工業に関する学科（単位制以外の学校）,電気・情報ﾃﾞｻﾞｲﾝ,42,37,0.88
総合工科,工業に関する学科（単位制以外の学校）,建築・都市工学,42,20,0.48
総合工科,工業に関する学科（単位制以外の学校）,中野中野工業ｷｬﾘｱ技術,72,39,0.54
杉並,工業に関する学科（単位制以外の学校）,工業機械,58,18,0.31
杉並,工業に関する学科（単位制以外の学校）,電子,24,14,0.58
杉並,工業に関する学科（単位制以外の学校）,理工環境,26,12,0.46
杉並,工業に関する学科（単位制以外の学校）,荒川荒川工業電気,25,17,0.68
杉並,工業に関する学科（単位制以外の学校）,電子,27,18,0.67
杉並,工業に関する学科（単位制以外の学校）,情報技術,56,38,0.68
板橋,工業に関する学科（単位制以外の学校）,北豊島工業総合技術,97,45,0.46
練馬,工業に関する学科（単位制以外の学校）,工業ｷｬﾘｱ技術,88,104,1.18
足立,工業に関する学科（単位制以外の学校）,工業総合技術,92,74,0.8
江戸川,工業に関する学科（単位制以外の学校）,葛西工業機械,21,28,1.33
江戸川,工業に関する学科（単位制以外の学校）,電子,21,26,1.24
江戸川,工業に関する学科（単位制以外の学校）,建築,45,30,0.67
江戸川,工業に関する学科（単位制以外の学校）,ﾃﾞｭｱﾙｼｽﾃﾑ,22,20,0.91
府中,工業に関する学科（単位制以外の学校）,工業機械,21,17,0.81
府中,工業に関する学科（単位制以外の学校）,電気,42,55,1.31
府中,工業に関する学科（単位制以外の学校）,情報技術,21,20,0.95
府中,工業に関する学科（単位制以外の学校）,工業技術,21,17,0.81
町田,工業に関する学科（単位制以外の学校）,工業総合情報,105,91,0.87
多摩,工業に関する学科（単位制以外の学校）,工業機械,42,37,0.88
多摩,工業に関する学科（単位制以外の学校）,電気,21,34,1.62
多摩,工業に関する学科（単位制以外の学校）,環境化学,21,23,1.1
多摩,工業に関する学科（単位制以外の学校）,ﾃﾞｭｱﾙｼｽﾃﾑ,21,27,1.29
田無,工業に関する学科（単位制以外の学校）,工業機械,42,23,0.55
田無,工業に関する学科（単位制以外の学校）,建築,42,45,1.07
田無,工業に関する学科（単位制以外の学校）,都市工学,21,23,1.1
六郷工科,工業に関する学科（単位制の学校）,ﾌﾟﾛﾀﾞｸﾄ工学,24,7,0.29
六郷工科,工業に関する学科（単位制の学校）,ｵｰﾄﾓﾋﾞﾙ工学,20,14,0.7
六郷工科,工業に関する学科（単位制の学校）,ｼｽﾃﾑ工学,20,21,1.05
六郷工科,工業に関する学科（単位制の学校）,ﾃﾞｻﾞｲﾝ工学,20,15,0.75
六郷工科,工業に関する学科（単位制の学校）,ﾃﾞｭｱﾙｼｽﾃﾑ,26,10,0.38
科学技術,科学技術科,科学技術,126,235,1.87
多摩科学技術,科学技術科,科学技術,147,304,2.07
園芸,農業に関する学科,園芸,49,67,1.37
園芸,農業に関する学科,食品,25,27,1.08
園芸,農業に関する学科,動物,25,60,2.4
農芸,農業に関する学科,園芸科学,23,22,0.96
農芸,農業に関する学科,食品科学,46,43,0.93
農芸,農業に関する学科,緑地環境,23,16,0.7
農産,農業に関する学科,園芸ﾃﾞｻﾞｲﾝ,42,32,0.76
農産,農業に関する学科,食品,46,39,0.85
農業,農業に関する学科,都市園芸,23,36,1.57
農業,農業に関する学科,食品科学,23,18,0.78
農業,農業に関する学科,緑地計画,23,21,0.91
瑞穂農芸,農業に関する学科,園芸科学,25,13,0.52
瑞穂農芸,農業に関する学科,畜産科学,25,47,1.88
瑞穂農芸,農業に関する学科,食品,25,21,0.84
大島海洋国際,水産に関する学科,海洋国際,49,65,1.33
赤羽北桜,家庭に関する学科（単位制以外の学校）,保育・栄養,98,21,0.21
赤羽北桜,家庭に関する学科（単位制以外の学校）,調理,25,36,1.44
農業,家庭に関する学科（単位制以外の学校）,服飾,25,36,1.44
農業,家庭に関する学科（単位制以外の学校）,食物,25,25,1.0
瑞穂農芸,家庭に関する学科（単位制以外の学校）,生活ﾃﾞｻﾞｲﾝ,49,26,0.53
忍岡,家庭に関する学科（単位制の学校）,生活科学,49,30,0.61
赤羽北桜,福祉に関する学科,介護福祉,25,19,0.76
野津田,福祉に関する学科,福祉,25,12,0.48
立川,理数に関する学科,創造理数,32,147,4.59
総合芸術,芸術に関する学科,音楽,28,29,1.04
総合芸術,芸術に関する学科,美術,56,152,2.71
総合芸術,芸術に関する学科,舞台表現,28,61,2.18
駒場,体育に関する学科,保健体育,28,41,1.46
野津田,体育に関する学科,体育,24,9,0.38
国際,国際関係に関する学科,国際一般生徒対象,98,255,2.6
国際,国際関係に関する学科,日本人学校,15,25,1.67
国際,国際関係に関する学科,外国の学校,25,45,1.8
大島,併合科,農林・家政,35,5,0.14
三宅,併合科,農業・家政,35,5,0.14
八丈,併合科,園芸・家政,34,7,0.21
橘,産業科,産業,147,151,1.03
八王子桑志,産業科,ﾃﾞｻﾞｲﾝ分野,49,69,1.41
八王子桑志,産業科,ｸﾗﾌﾄ分野,25,20,0.8
八王子桑志,産業科,ｼｽﾃﾑ情報分野,25,42,1.68
八王子桑志,産業科,ﾋﾞｼﾞﾈｽ情報分野,49,50,1.02
晴海総合,総合学科,総合,192,339,1.77
つばさ総合,総合学科,総合,164,202,1.23
世田谷総合,総合学科,総合,164,186,1.13
杉並総合,総合学科,総合,154,174,1.13
王子総合,総合学科,総合,164,175,1.07
葛飾総合,総合学科,総合,136,116,0.85
青梅総合,総合学科,総合,164,189,1.15
町田総合,総合学科,総合,164,156,0.95
東久留米総合,総合学科,総合,164,175,1.07
若葉総合,総合学科,総合,164,148,0.9
若葉総合,定時制課程（単位制の学校）,学年相当,72,72,1.0
若葉総合,定時制課程（単位制の学校）,学年相当,72,61,0.85
若葉総合,定時制課程（単位制の学校）,学年相当,48,10,0.21
若葉総合,定時制課程（単位制の学校）,学年相当,100,177,1.77
若葉総合,定時制課程（単位制の学校）,学年相当以上,50,6,0.12
若葉総合,定時制課程（単位制の学校）,学年相当,46,83,1.8
若葉総合,定時制課程（単位制の学校）,学年相当,72,78,1.08
若葉総合,定時制課程（単位制の学校）,学年相当,72,40,0.56
若葉総合,定時制課程（単位制の学校）,学年相当,48,6,0.13
若葉総合,定時制課程（単位制の学校）,学年相当,72,38,0.53
若葉総合,定時制課程（単位制の学校）,学年相当,72,37,0.51
若葉総合,定時制課程（単位制の学校）,学年相当,48,11,0.23
若葉総合,定時制課程（単位制の学校）,学年相当,72,135,1.88
若葉総合,定時制課程（単位制の学校）,学年相当,72,97,1.35
若葉総合,定時制課程（単位制の学校）,学年相当,48,38,0.79
若葉総合,定時制課程（単位制の学校）,学年相当,120,171,1.43
若葉総合,定時制課程（単位制の学校）,学年相当以上,15,0,0.0
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,170,275,1.62
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,2,0.13
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,170,217,1.28
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,3,0.2
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,170,225,1.32
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,2,0.13
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,230,289,1.26
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,0,0.0
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,170,155,0.91
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当以上,15,0,0.0
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,230,213,0.93
若葉総合,定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,学年相当,60,91,1.52
