school,department,sub_department,capacity,applicants,ratio
日比谷,普通科（ｺｰｽ、単位制以外の学校）,,254,546,2.15
三田,普通科（ｺｰｽ、単位制以外の学校）,,206,423,2.05
戸山,普通科（ｺｰｽ、単位制以外の学校）,,254,525,2.07
竹早,普通科（ｺｰｽ、単位制以外の学校）,,210,383,1.82
向丘,普通科（ｺｰｽ、単位制以外の学校）,,222,438,1.97
上野,普通科（ｺｰｽ、単位制以外の学校）,,254,500,1.97
上野,普通科（ｺｰｽ、単位制以外の学校）,白鷗,62,108,1.74
日本橋,普通科（ｺｰｽ、単位制以外の学校）,,181,306,1.69
本所,普通科（ｺｰｽ、単位制以外の学校）,,191,289,1.51
城東,普通科（ｺｰｽ、単位制以外の学校）,,254,374,1.47
東,普通科（ｺｰｽ、単位制以外の学校）,,191,397,2.08
深川,普通科（ｺｰｽ、単位制以外の学校）,,185,338,1.83
大崎,普通科（ｺｰｽ、単位制以外の学校）,,223,325,1.46
小山台,普通科（ｺｰｽ、単位制以外の学校）,,254,384,1.51
八潮,普通科（ｺｰｽ、単位制以外の学校）,,150,137,0.91
駒場,普通科（ｺｰｽ、単位制以外の学校）,,222,306,1.38
目黒,普通科（ｺｰｽ、単位制以外の学校）,,191,434,2.27
大森,普通科（ｺｰｽ、単位制以外の学校）,,159,153,0.96
蒲田,普通科（ｺｰｽ、単位制以外の学校）,,87,96,1.1
田園調布,普通科（ｺｰｽ、単位制以外の学校）,,170,325,1.91
雪谷,普通科（ｺｰｽ、単位制以外の学校）,,223,397,1.78
桜町,普通科（ｺｰｽ、単位制以外の学校）,,254,275,1.08
千歳丘,普通科（ｺｰｽ、単位制以外の学校）,,223,227,1.02
深沢,普通科（ｺｰｽ、単位制以外の学校）,,143,60,0.42
松原,普通科（ｺｰｽ、単位制以外の学校）,,158,231,1.46
青山,普通科（ｺｰｽ、単位制以外の学校）,,250,558,2.23
広尾,普通科（ｺｰｽ、単位制以外の学校）,,189,417,2.21
鷺宮,普通科（ｺｰｽ、単位制以外の学校）,,222,415,1.87
武蔵丘,普通科（ｺｰｽ、単位制以外の学校）,,254,386,1.52
杉並,普通科（ｺｰｽ、単位制以外の学校）,,254,295,1.16
豊多摩,普通科（ｺｰｽ、単位制以外の学校）,,254,533,2.1
西,普通科（ｺｰｽ、単位制以外の学校）,,254,442,1.74
豊島,普通科（ｺｰｽ、単位制以外の学校）,,222,452,2.04
文京,普通科（ｺｰｽ、単位制以外の学校）,,285,525,1.84
竹台,普通科（ｺｰｽ、単位制以外の学校）,,144,211,1.47
板橋,普通科（ｺｰｽ、単位制以外の学校）,,223,293,1.31
大山,普通科（ｺｰｽ、単位制以外の学校）,,171,152,0.89
北園,普通科（ｺｰｽ、単位制以外の学校）,,254,523,2.06
高島,普通科（ｺｰｽ、単位制以外の学校）,,254,301,1.19
井草,普通科（ｺｰｽ、単位制以外の学校）,,223,475,2.13
石神井,普通科（ｺｰｽ、単位制以外の学校）,,222,411,1.85
田柄,普通科（ｺｰｽ、単位制以外の学校）,,124,81,0.65
練馬,普通科（ｺｰｽ、単位制以外の学校）,,191,214,1.12
光丘,普通科（ｺｰｽ、単位制以外の学校）,,185,163,0.88
青井,普通科（ｺｰｽ、単位制以外の学校）,,139,119,0.86
足立,普通科（ｺｰｽ、単位制以外の学校）,,222,353,1.59
足立新田,普通科（ｺｰｽ、単位制以外の学校）,,210,158,0.75
足立西,普通科（ｺｰｽ、単位制以外の学校）,,158,184,1.16
足立東,普通科（ｺｰｽ、単位制以外の学校）,,124,132,1.06
江北,普通科（ｺｰｽ、単位制以外の学校）,,254,389,1.53
淵江,普通科（ｺｰｽ、単位制以外の学校）,,175,220,1.26
葛飾野,普通科（ｺｰｽ、単位制以外の学校）,,254,231,0.91
南葛飾,普通科（ｺｰｽ、単位制以外の学校）,,162,241,1.49
江戸川,普通科（ｺｰｽ、単位制以外の学校）,,254,424,1.67
葛西南,普通科（ｺｰｽ、単位制以外の学校）,,192,165,0.86
小岩,普通科（ｺｰｽ、単位制以外の学校）,,285,474,1.66
小松川,普通科（ｺｰｽ、単位制以外の学校）,,254,351,1.38
篠崎,普通科（ｺｰｽ、単位制以外の学校）,,223,243,1.09
紅葉川,普通科（ｺｰｽ、単位制以外の学校）,,191,311,1.63
片倉,普通科（ｺｰｽ、単位制以外の学校）,,191,238,1.25
八王子北,普通科（ｺｰｽ、単位制以外の学校）,,159,165,1.04
八王子東,普通科（ｺｰｽ、単位制以外の学校）,,254,410,1.61
富士森,普通科（ｺｰｽ、単位制以外の学校）,,250,298,1.19
松が谷,普通科（ｺｰｽ、単位制以外の学校）,,190,299,1.57
立川,普通科（ｺｰｽ、単位制以外の学校）,,222,285,1.28
武蔵野北,普通科（ｺｰｽ、単位制以外の学校）,,191,266,1.39
多摩,普通科（ｺｰｽ、単位制以外の学校）,,159,118,0.74
府中,普通科（ｺｰｽ、単位制以外の学校）,,222,397,1.79
府中西,普通科（ｺｰｽ、単位制以外の学校）,,236,278,1.18
府中東,普通科（ｺｰｽ、単位制以外の学校）,,241,356,1.48
昭和,普通科（ｺｰｽ、単位制以外の学校）,,254,481,1.89
拝島,普通科（ｺｰｽ、単位制以外の学校）,,223,210,0.94
神代,普通科（ｺｰｽ、単位制以外の学校）,,222,469,2.11
調布北,普通科（ｺｰｽ、単位制以外の学校）,,190,326,1.72
調布南,普通科（ｺｰｽ、単位制以外の学校）,,191,362,1.9
小川,普通科（ｺｰｽ、単位制以外の学校）,,254,314,1.24
成瀬,普通科（ｺｰｽ、単位制以外の学校）,,223,286,1.28
野津田,普通科（ｺｰｽ、単位制以外の学校）,,96,84,0.88
町田,普通科（ｺｰｽ、単位制以外の学校）,,254,328,1.29
山崎,普通科（ｺｰｽ、単位制以外の学校）,,140,131,0.94
小金井北,普通科（ｺｰｽ、単位制以外の学校）,,191,267,1.4
小平,普通科（ｺｰｽ、単位制以外の学校）,,159,230,1.45
小平西,普通科（ｺｰｽ、単位制以外の学校）,,223,228,1.02
小平南,普通科（ｺｰｽ、単位制以外の学校）,,223,403,1.81
日野,普通科（ｺｰｽ、単位制以外の学校）,,254,327,1.29
