school_number,name,slug,access_text,source_url
404640,千早,chihaya-h,"東京メトロ有楽町線副都心線 千川駅 A3出口より徒歩7分
西武池袋線東長崎駅北口より徒歩10分",https://www.metro.ed.jp/chihaya-h/access/access.html
402250,千歳丘,chitosegaoka-h,路線案内,https://www.metro.ed.jp/chitosegaoka-h/access/access.html
410030,調布北,chofukita-h,"最寄り駅からのアクセスマップ
＊駅名をクリックするとバス乗り場や時刻表を確認できます（外部サイトへリンク）。
調布駅
調布駅北口12番乗り場から「三鷹駅行き」（鷹56） 所要時間約15分 「調布北高校前」下車
調布駅北口12番乗り場から「吉祥寺駅行き」（吉06） 所要時間約15分 「調布北高校前」下車
吉祥寺駅
吉祥寺駅４番乗り場から「調布駅北口行き」（吉06） 所要時間約20分 「調布北高校前」下車
三鷹駅
三鷹駅（南口）２番乗り場から「調布駅北口行き」（鷹56） 所用時間約15分 「調布北高校前」下車
武蔵境駅
武蔵境駅南口２番乗り場から「境南循環経由 武蔵境駅南口行き」（境92） 所要時間約10分 「野崎八幡」下車",https://www.metro.ed.jp/chofukita-h/access/access.html
410040,調布南,chofuminami-h,"路線案内
京王相模原線 京王多摩川駅から徒歩3分
京王線 調布駅から徒歩12分",https://www.metro.ed.jp/chofuminami-h/access/access.html
410610,第五商業,daigosyogyo-he,"路線案内
●ＪＲ中央線国立駅より
徒歩18分
国立駅6番バス停『立川駅南口行き』乗車『五商入口』にて下車徒歩2分
●ＪＲ南武線谷保駅より
徒歩16分",https://www.metro.ed.jp/daigosyogyo-he/access/access.html
402620,第一商業,daiichishogyo-h,"路線案内
JR線・地下鉄 渋谷駅 徒歩13分
東急東横線 代官山駅 徒歩7分
地下鉄 中目黒駅 徒歩12分
京王井の頭線 神泉駅 徒歩17分
バスの場合
JR渋谷駅南口 35番バス乗り場から東急トランセ「第一商業高校」下車",https://www.metro.ed.jp/daiichishogyo-h/access/access.html
406640,第三商業,daisansyogyo-h,"路線案内
場所は下町情緒あふれる門前仲町・深川界隈に位置し、交通機関は、東西線および大江戸線（門前仲町駅下車）、有楽町線（豊洲駅下車）、JR京葉線（越中島駅下車）、都バス（都立三商前下車）があり、どの方面からも通学が大変便利です。
東京メトロ東西線・都営地下鉄大江戸線 「門前仲町」下車
〇２番出口から徒歩15分
〇３番出口から都営バスに乗車 「都立三商前」下車
東京メトロ有楽町線 「豊洲駅」下車
〇１ａ番出口から徒歩20分
〇３番出口から都営バスに乗車 「都立三商前」下車
ＪＲ京葉線 越中島駅下車２番出口
〇２番出口から徒歩８分",https://www.metro.ed.jp/daisansyogyo-h/access/access.html
406640,第三商業,daisansyogyo-he,"路線案内
場所は下町情緒あふれる門前仲町・深川界隈に位置し、交通機関は、東西線および大江戸線（門前仲町駅下車）、有楽町線（豊洲駅下車）、JR京葉線（越中島駅下車）、都バス（都立三商前下車）があり、どの方面からも通学が大変便利です。
東京メトロ東西線・都営地下鉄大江戸線 門前仲町駅下車
出口２番から徒歩１８分
出口３番から都営バス
海０１ 有明テニスの森・東京テレポート駅行
各「都立三商前」下車
東京メトロ有楽町線 豊洲駅下車
出口１番から徒歩２０分
ＪＲ京葉線 越中島駅下車２番出口
徒歩８分",https://www.metro.ed.jp/daisansyogyo-he/access/access.html
403630,第四商業,daiyonsyogyo-h,"路線案内
西武池袋線富士見台駅 北口 下車、徒歩8分
西武池袋線練馬高野台駅 北口 下車、徒歩12分
西武新宿線下井草駅 自転車10分",https://www.metro.ed.jp/daiyonsyogyo-h/access/access.html
406250,江戸川,edogawa-h,"路線案内
JR「新小岩」駅より
南口より徒歩15分
都バス（葛西駅・西葛西駅・船堀駅ゆき）
江戸川高校前下車（徒歩2分）
地下鉄・東西線「葛西・西葛西」駅より
都バス（新小岩駅ゆき）江戸川高校前下車（徒歩2分）
地下鉄・都営新宿線「船堀」駅より
都バス（新小岩駅ゆき）江戸川高校前下車（徒歩2分）",https://www.metro.ed.jp/edogawa-h/access/access.html
402810,園芸,engei-h,"路線案内
東急大井町線 等々力駅下車 徒歩15分
東急バス利用の場合
(渋82）渋谷駅行きor(等13)梅ヶ丘駅行きor(等12)成城学園前駅行き
→等々力駅からバス5分、「園芸高校前」下車徒歩3分
東急田園都市線 桜新町駅下車 徒歩20分
東急バス利用の場合
(黒07）目黒駅行きor(都立01)都立大学駅北口行き
→桜新町駅からバス10分、「日本体育大学前」下車徒歩5分
小田急線 梅ヶ丘駅下車
→梅ヶ丘駅からバス30分、「園芸高校前」下車徒歩3分
世田谷駅前・駒沢大学駅前を経由します。
「東急バス(渋82）等々力行き」は、渋谷・三軒茶屋・駒澤大学駅からも乗車できます。",https://www.metro.ed.jp/engei-h/access/access.html
402810,園芸,engei-he,"路線案内
東急大井町線 等々力駅下車 徒歩15分
東急バス利用の場合
(渋82）渋谷駅行きor(等13)梅ヶ丘駅行きor(等12)成城学園前駅行き
→等々力駅からバス5分、「園芸高校前」下車徒歩3分
東急田園都市線 桜新町駅下車 徒歩20分
東急バス利用の場合
(黒07）目黒駅行きor(都立01)都立大学駅北口行き
→桜新町駅からバス10分、「日本体育大学前」下車徒歩5分
小田急線 梅ヶ丘駅下車
→梅ヶ丘駅からバス30分、「園芸高校前」下車徒歩3分
世田谷駅前・駒沢大学駅前を経由します。
「東急バス(渋82）等々力行き」は、渋谷・三軒茶屋・駒澤大学駅からも乗車できます。
「東急バス(等12）成城学園前駅行き」は、用賀駅からも乗車できます。",https://www.metro.ed.jp/engei-he/access/access.html
405230,淵江,fuchie-h,"路線案内
秋葉原からTX線・バスで25分
西日暮里から千代田線・TX線・バスで21分
金町から常磐線直通千代田線・TX線・バスで24分
青砥から京成本線・東武線・TX線・バスで30分",https://www.metro.ed.jp/fuchie-h/access/access.html
410210,府中,fuchu-h,"路線案内
JR武蔵野線 北府中駅から 徒歩12分
京王線 府中駅北口からバス
「（寺91系統） 国分寺駅南口行」バス7分
「明星学苑」下車、徒歩5分
※注記：府中駅北口の国分寺駅南口行き停留所は、明星学苑の列と一般客用の列に分かれています。一般客用の列から乗車してください。
JR中央線・西武線 国分寺駅南口からバス
「（寺91系統）京王線府中駅行」バス7分
「明星学苑」下車、徒歩5分
※注記：国分寺駅南口の府中駅行き停留所は、明星学苑の列と一般客用の列に分かれています。一般客用の列から乗車してください。
※注記：「国分寺駅南口－府中駅」間のバスは、寺91系統をご利用ください。
JR中央線 国立駅南口からバス
「（国01〜03系統）医療センター経由「府中駅行」または「府中営業所行」 バス12分
「第九小学校」下車、徒歩6分",https://www.metro.ed.jp/fuchu-h/access/access.html
410220,府中東,fuchuhigashi-h,"路線案内
京王線 武蔵野台駅・飛田給駅 徒歩15分
西武鉄道多摩川線 白糸台駅 徒歩25分",https://www.metro.ed.jp/fuchuhigashi-h/access/access.html
410710,府中工科,fuchukoka-h,"路線案内
京王線 「東府中駅」北口下車徒歩10分
JR中央線 「武蔵小金井駅」南口より東府中行バス15分（「府中工業高校」下車 ）",https://www.metro.ed.jp/fuchukoka-h/access/access.html
410230,府中西,fuchunishi-h,"路線案内
JR南武線「西府」駅より 徒歩15分
JR中央線「国立」駅より （谷保経由）
「聖蹟桜ヶ丘駅行き」バス15分
「府中西高校入口」下車徒歩１分
京王線「聖蹟桜ヶ丘」駅より
「国立駅行き」バス15分
「府中西高校入口」下車徒歩１分",https://www.metro.ed.jp/fuchunishi-h/access/access.html
403020,富士,fuji-s,"路線案内
東京メトロ丸ノ内線「中野富士見町」駅より徒歩1分
バス
JR「中野駅」から10分
（南口ターミナル1番線 京王バス 渋63渋谷駅行・新45新宿駅西口行
「中野車庫」下車徒歩2分又は「富士高校」下車徒歩1分
京王線「幡ヶ谷」駅から10分
（京王バス 渋63中野駅行）「富士高校」下車徒歩1分
京王線「笹塚」駅から徒歩4分「笹塚中学」バス停から10分
（京王バス 渋63・宿45中野駅行「富士高校」下車徒歩1分）
京王井の頭線「西永福」駅から25分
（中71中野駅行「中野車庫」下車徒歩2分",https://www.metro.ed.jp/fuji-s/access/access.html
407020,富士森,fujimori-h,"路線案内
JR西八王子駅下車、北口より徒歩１３分
西東京バス、西八王子駅（北口）または中央図書館前より富士森高校経由長房団地ゆき・城山手ゆき約５分「富士森高校」下車、徒歩１分（本校経由のみ利用）
西東京バス、京王八王子駅または、JR八王子北口より富士森高校経由長房団地ゆき・城山手ゆき約２５分「富士森高校」下車、徒歩１分（本校経由のみ利用）",https://www.metro.ed.jp/fujimori-h/access/access.html
