file,kai,kumi,label,url
64_東日本組_1713acdbfaa0888e468b698cc4325f9b.pdf,64,東日本組,東日本組　８月１１日　結果,https://tokousuiren.com/wp/wp-content/uploads/2024/08/1713acdbfaa0888e468b698cc4325f9b.pdf
64_東日本組_5fbc23275411a8bbfdfa5630a0e937ad.pdf,64,東日本組,東日本組　８月１２日　結果,https://tokousuiren.com/wp/wp-content/uploads/2024/08/5fbc23275411a8bbfdfa5630a0e937ad.pdf
64_東日本組_9aa76f5653f3b9568a0881037316927a.pdf,64,東日本組,東日本組　８月１６日　代表選考会　結果,https://tokousuiren.com/wp/wp-content/uploads/2024/08/9aa76f5653f3b9568a0881037316927a.pdf
64_Ｃ組_b4e7c00ade28fec9b7e02142c8914e3a-1.pdf,64,Ｃ組,Ｃ組　８月１０日　結果,https://tokousuiren.com/wp/wp-content/uploads/2024/08/b4e7c00ade28fec9b7e02142c8914e3a-1.pdf
64_Ｃ組_b7ce6a09e040af45476be5a780be11c7.pdf,64,Ｃ組,Ｃ組　８月１１日　結果,https://tokousuiren.com/wp/wp-content/uploads/2024/08/b7ce6a09e040af45476be5a780be11c7.pdf
64_Ｃ組_bb46b813d7292eef7aa357dc1d245884-1.pdf,64,Ｃ組,Ｃ組　８月１２日　結果,https://tokousuiren.com/wp/wp-content/uploads/2024/08/bb46b813d7292eef7aa357dc1d245884-1.pdf
63_Ｃ組_c812336cac0bc9664a017898ef785d48.pdf,63,Ｃ組,A組　８月１０日　結果,https://tokousuiren.com/wp/wp-content/uploads/2023/08/c812336cac0bc9664a017898ef785d48.pdf
63_Ｃ組_9fda05990901427f29b02340979df9b4.pdf,63,Ｃ組,A組　８月１１日　結果,https://tokousuiren.com/wp/wp-content/uploads/2023/08/9fda05990901427f29b02340979df9b4.pdf
63_Ｃ組_a05c33982e146a93e87d9b9a635ebaed.pdf,63,Ｃ組,A組　８月１２日　結果,https://tokousuiren.com/wp/wp-content/uploads/2023/08/a05c33982e146a93e87d9b9a635ebaed.pdf
63_Ｃ組_2c9e4a14f98a3ad4c7c6fc470edef9e1.pdf,63,Ｃ組,B組　８月１３日　結果,https://tokousuiren.com/wp/wp-content/uploads/2023/08/2c9e4a14f98a3ad4c7c6fc470edef9e1.pdf
63_Ｃ組_faa0f6568724e6579e4b131c379c3da8.pdf,63,Ｃ組,B組　８月１４日　結果,https://tokousuiren.com/wp/wp-content/uploads/2023/08/faa0f6568724e6579e4b131c379c3da8.pdf
63_Ｃ組_ba579a8411d950a64621fd883ab21b16.pdf,63,Ｃ組,C組　８月１３日　結果,https://tokousuiren.com/wp/wp-content/uploads/2023/08/ba579a8411d950a64621fd883ab21b16.pdf
63_Ｃ組_3b7f8c5af57b6c3a70ddb9864e824e68-1.pdf,63,Ｃ組,C組　８月１４日　結果,https://tokousuiren.com/wp/wp-content/uploads/2023/08/3b7f8c5af57b6c3a70ddb9864e824e68-1.pdf
63_Ｃ組_bc1617a16c8e43a4934b54c400f159f1.pdf,63,Ｃ組,C組　８月１５日　結果,https://tokousuiren.com/wp/wp-content/uploads/2023/08/bc1617a16c8e43a4934b54c400f159f1.pdf
63_Ｃ組_d221af7ecb0b3d65068c0af0f09c560e-1.pdf,63,Ｃ組,東日本組　８月１０日　結果,https://tokousuiren.com/wp/wp-content/uploads/2023/08/d221af7ecb0b3d65068c0af0f09c560e-1.pdf
63_Ｃ組_dc8aff67e9fb5cc1e90402e7625dc897.pdf,63,Ｃ組,東日本組　８月１１日　結果,https://tokousuiren.com/wp/wp-content/uploads/2023/08/dc8aff67e9fb5cc1e90402e7625dc897.pdf
63_Ｃ組_5af00a4d2cdedddefa204008173df8c2.pdf,63,Ｃ組,東日本組　８月１２日　結果,https://tokousuiren.com/wp/wp-content/uploads/2023/08/5af00a4d2cdedddefa204008173df8c2.pdf
63_Ｃ組_789c5938d0fcb1001f0429da8376d0c1.pdf,63,Ｃ組,東日本組　代表選考会　８月１５日　結果,https://tokousuiren.com/wp/wp-content/uploads/2023/08/789c5938d0fcb1001f0429da8376d0c1.pdf
